person_id,表序,表序标签,收录状态,规范名,公主表用名,异名,父亲ID,生母人物ID,生母候选名,生母来源,封号摘要,下嫁摘要,生薨摘要,额驸事略,证据状态,冲突组 ID,排序键,备注
QH-P-000113,11,圣祖第十一女,未封,圣祖第十一女（未封）,聖祖第十一女,温僖贵妃所出皇女,QH-P-000001,QH-P-000030,温僖贵妃钮祜禄氏,卷166第十一女行,未封,,康熙二十四年九月生，二十五年五月殤,,S二手转述,,11,表文作鈕枯祿氏。与第二十女庶妃钮祜禄氏分人，不合并。
QH-P-000114,12,圣祖第十二女,未封,圣祖第十二女（未封）,聖祖第十二女,孝恭所出皇女,QH-P-000001,QH-P-000025,孝恭仁皇后乌雅氏,卷166第十二女行,未封,,康熙二十五年閏四月生，三十六年閏三月殤,,S二手转述,,12,未封。约十一岁殇，不是月内殇。当时生母位号是德妃。
QH-P-000115,13,圣祖第十三女,入序受封,爱新觉罗氏温恪公主,聖祖第十三女,和硕温恪公主,QH-P-000001,QH-P-000032,敬敏皇贵妃章佳氏,卷166第十三女行,和硕温恪公主,康熙四十五年七月，下嫁仓津,康熙二十六年十一月生，四十八年六月薨，年二十三,仓津，初名班第，博尔济吉特氏，袭翁牛特部杜凌郡王。尚主。雍正五年坐事夺爵,S二手转述,,13,额驸仓津初名班第，与抚育女纯禧额驸班第不是同一人，不得合并。本表未记进固伦。
QH-P-000116,14,圣祖第十四女,入序受封,爱新觉罗氏悫靖公主,聖祖第十四女,和硕悫靖公主,QH-P-000001,,贵人袁氏,卷166第十四女行,和硕悫靖公主,康熙四十五年，下嫁孙承运,康熙二十八年十二月生，乾隆元年十一月薨，年四十八,孙承运，甘肃提督、一等阿思哈尼哈番思克子。袭爵，授散秩大臣。尚主。五十八年卒,S二手转述,,14,额驸为汉人孙承运。下嫁只到年，无月日。贵人袁氏尚未建档。
QH-P-000117,15,圣祖第十五女,入序受封,爱新觉罗氏敦恪公主,聖祖第十五女,和硕敦恪公主,QH-P-000001,QH-P-000032,敬敏皇贵妃章佳氏,卷166第十五女行,和硕敦恪公主,康熙四十七年十二月，下嫁多尔济,康熙三十年正月生，四十八年十二月薨，年十九,多尔济，博尔济吉特氏，科尔沁台吉。尚主，授额驸。康熙五十八年坐事削额驸，仍予台吉品级。五十九年卒,S二手转述,,15,与第十三女同母。额驸多尔济尚未建档，勿与他处同名台吉自动合并。
QH-P-000118,16,圣祖第十六女,未封,圣祖第十六女（未封）,聖祖第十六女,庶妃王氏所出,QH-P-000001,,庶妃王氏,卷166第十六女行,未封,,康熙三十四年十月生，四十六年十月殤,,S二手转述,,16,庶妃王氏与密妃王氏（QH-P-000033）同姓，表文分写，不自动合并。
QH-P-000119,17,圣祖第十七女,未封,圣祖第十七女（未封）,聖祖第十七女,庶妃刘氏所出,QH-P-000001,,庶妃刘氏,卷166第十七女行,未封,,康熙三十七年十二月生，三十九年十一月殤,,S二手转述,,17,未封早殇。庶妃刘氏尚未建档。
QH-P-000120,18,圣祖第十八女,未封,圣祖第十八女（未封）,聖祖第十八女,惇怡皇贵妃所出,QH-P-000001,,惇怡皇贵妃瓜尔佳氏,卷166第十八女行,未封,,康熙四十年十月生，尋殤,,S二手转述,,18,尋殤，无卒月。惇怡是后来累加谥号，当时位号待册文。
QH-P-000121,19,圣祖第十九女,未封,圣祖第十九女（未封）,聖祖第十九女,襄嫔高氏所出,QH-P-000001,,襄嫔高氏,卷166第十九女行,未封,,康熙四十二年二月生，四十四年二月殤,,S二手转述,,19,襄嫔高氏尚未建档。皇二十子胤禕后妃传亦称襄嫔高氏子，是否同一人待玉牒。
QH-P-000122,20,圣祖第二十女,未封,圣祖第二十女（未封）,聖祖第二十女,庶妃钮祜禄氏所出,QH-P-000001,,庶妃钮祜禄氏,卷166第二十女行,未封,,康熙四十七年十一月生，十二月殤,,S二手转述,,20,与温僖贵妃钮祜禄氏分人。十一月生、十二月殇。
QH-P-000123,抚1,圣祖抚弟恭亲王常宁第一女,抚育附列,爱新觉罗氏纯禧公主,聖祖撫弟恭親王常寧第一女,和硕纯禧公主；固伦纯禧公主,,,,卷166抚育行；生母未记,初封和硕纯禧公主。雍正元年进封固伦纯禧公主,康熙二十九年三月，下嫁班第,康熙十年十一月生，乾隆六年十二月薨，年七十一,班第，博尔济吉特氏，科尔沁台吉。尚主。累官内大臣、都统、前锋统领。雍正四年卒。乾隆十八年追谥恭勤,S二手转述,,21,常宁之女，康熙抚育，不是圣祖亲生第二十一女。额驸班第与仓津初名班第不是同一人。生父常宁尚未建档。
