question_id,类别,问题,期望行为,绑定ID,可公开答案,拒答说明,路由,证据状态
QH-GQ-0011,事实查询,初废太子，拘执和颁诏是同一天吗？,返回答案,QH-A-KX-0086；QH-A-KX-0089,不是。丁丑拘执，丁酉颁诏废太子，中间还有诏书自述的九月十八日告祭。,,#/succession,E1单源回查
QH-GQ-0012,版本冲突,太子再废是九月还是十月？,并陈冲突,QH-A-KX-0081；QH-A-KX-0082；QH-CF-KX-DEPOSE2-MONTH,本纪八：五十一年九月庚戌复以罪废，锢于咸安宫。列传：五十一年十月复废。两说并存。,,#/succession,C来源冲突
QH-GQ-0013,版本冲突,孝诚册为皇后是七月还是九月？,并陈冲突,QH-A-KX-0039；QH-A-KX-0040；QH-CF-KX-EMPRESS-DATE,后妃传作康熙四年七月；本纪六作四年九月辛卯。两说并存。,,#/empresses,C来源冲突
QH-GQ-0014,事实查询,孝诚崩后当时的谥号是什么？,返回答案,QH-A-KX-0044,实录卷48颁诏：康熙十三年六月二十七日册谥为仁孝皇后。后来的孝诚仁皇后是累加谥。,,#/empresses,E1单源回查
QH-GQ-0015,版本冲突,康熙的第一子和长子是同一个人吗？,并陈冲突,QH-A-KX-0058；QH-A-KX-0066；QH-CF-KX-PRINCE-ORDER,世表第一子是胤禔。后妃传称承瑞为圣祖长子。表序不是玉牒自然序。两说并存。,,#/princes,C来源冲突
QH-GQ-0016,事实查询,雍正的生母是谁？哪一年崩？,返回答案,QH-A-KX-0051；QH-A-KX-0056,后妃传：康熙十七年十月丁酉世宗生。雍正元年五月辛丑崩。本纪九称仁寿皇太后、帝之生母也。,,#/empresses,S二手转述
QH-GQ-0017,事实查询,年羹尧获罪，本纪怎么写结局？,返回答案,QH-A-YZ-0026,《清史稿》卷9：雍正三年十二月甲戌，廷臣议上罪九十二款，得旨年羹尧赐死。,,#/chapter/yongzheng-01,S二手转述
QH-GQ-0018,事实查询,隆科多最后被怎样处置？死在哪里？,返回答案,QH-A-YZ-0029；QH-A-YZ-0036；QH-A-YZ-0037；QH-A-YZ-0043；QH-A-YZ-0063；QH-A-YZ-0064,五年六月八日实录：私抄玉牒，调回。二十二日：一等公革爵。十月五日：四十一款，畅春园外造屋三间永远禁锢。本纪十月作大罪五十、著禁锢。列传并记六年六月死于禁所。,,#/person/QH-P-000048,C来源冲突
QH-GQ-0019,版本冲突,军机处是哪一年设的？,并陈冲突,QH-A-YZ-0030；QH-A-YZ-0045；QH-A-YZ-0046；QH-A-YZ-0058；QH-A-YZ-0065；QH-CF-YZ-JUNJI,本纪十年写军机大臣之设始于此。实录七年六月十日写军需交怡亲王等密为办理，无军机房字。年表同年六月写始设军机房；十年三月写改称办理军机处。实录十年三月初三日是铸印，无改称句。会典未开。不择一。,,#/chapter/yongzheng-01,C来源冲突
QH-GQ-0020,事实查询,雍正传位给谁？,返回答案,QH-A-YZ-0031,本纪九：十三年八月戊子大渐，宣旨传位皇四子宝亲王弘历。次日己丑崩。,,#/chapter/yongzheng-01,S二手转述
QH-GQ-0021,事实查询,雍正葬在哪？,返回答案,QH-A-YZ-0033；QH-ST-0022,本纪：乾隆二年三月葬泰陵。今地在河北易县清西陵，不是遵化东陵。,,#/site/QH-ST-0022,S二手转述
QH-GQ-0022,事实查询,胤禛是哪一年生的？,返回答案,QH-A-KX-0051,后妃传孝恭条：康熙十七年十月丁酉，世宗生。生母关系仍待玉牒核验。,,#/person/QH-P-000002,S二手转述
QH-GQ-0023,事实查询,太子复立是哪一天？,返回答案,QH-A-KX-0080；QH-A-KX-0092,本纪与实录均作康熙四十八年三月辛巳授册宝复立为皇太子。,,#/succession,E1单源回查
QH-GQ-0024,事实查询,朱天保请复立太子，结果如何？,返回答案,QH-A-KX-0084,本纪八：康熙五十七年二月癸卯，检讨朱天保上疏请复立，命诛之。不是第四次废立。,,#/succession,S二手转述
QH-GQ-0025,事实查询,康熙遗诏自报在位多少年？,返回答案,QH-A-KX-0015,遗诏文本有在位年数自述。这是文本自报，须与即位、改元字段分开，不能单独当在位算法。,,#/claim/QH-A-KX-0015,E1单源回查
QH-GQ-0026,关系路径,胤禛的生母、抚养者、嫡母是同一个人吗？,返回答案,QH-A-KX-0051；QH-A-KX-0054；QH-L-0003,不是。生母乌雅氏；佟佳氏是抚养者候选；嫡妻那拉氏是他自己的皇后。三种母职必须分栏。,,#/lane/QH-L-0003,S二手转述
QH-GQ-0027,关系路径,隆科多和孝懿仁皇后是什么关系？,返回答案,QH-A-YZ-0034,列传：隆科多是一等公佟国维子、孝懿仁皇后弟。外戚身份，不是生母家。,,#/person/QH-P-000048,S二手转述
QH-GQ-0028,关系路径,年贵妃和年羹尧是什么关系？能不能说明年羹尧掌兵的原因？,返回答案,QH-A-YZ-0018；QH-L-0005,年氏是年羹尧之妹，元年十二月封贵妃。后宫受宠和外廷军职要分开取证，不能写成因为宠妃所以掌兵。,,#/lane/QH-L-0005,S二手转述
QH-GQ-0029,关系路径,胤禵和胤禛是同母吗？,返回答案,QH-P-000012；QH-P-000025；QH-A-KX-0051,人物档与后妃传把乌雅氏记为世宗、允禵、允祚之母。同母候选，仍待玉牒。不是传位十四子的证据。,,#/princes,S二手转述
QH-GQ-0030,关系路径,雍正即位后哪四个人总理事务？,返回答案,QH-A-YZ-0006,本纪九辛丑：贝勒胤禩、皇十三弟胤祥、大学士马齐、尚书隆科多。,,#/chapter/yongzheng-01,S二手转述
QH-GQ-0031,关系路径,弘历在雍正崩那天的身份是什么？,返回答案,QH-A-YZ-0031,本纪作皇四子宝亲王弘历。宝亲王是当时封号，高宗、乾隆是后来的庙号和年号。,,#/person/QH-P-000019,S二手转述
QH-GQ-0032,关系路径,佟国维、孝懿、隆科多怎么连？,返回答案,QH-A-YZ-0034；QH-P-000046,列传：隆科多是佟国维子、孝懿弟。佟国维在人物档为外戚。具体封爵时间待实录。,,#/person/QH-P-000046,S二手转述
QH-GQ-0033,关系路径,废太子的儿子在雍正初年被封了什么？,返回答案,QH-SU-YZ-QSG-0009B,本纪九十二月壬戌：废太子胤礽之子弘晰为理郡王。主张未单拆，见该来源单元。,,#/person/QH-P-000004,S二手转述
QH-GQ-0034,关系路径,胤禩后来被改成什么名字？,返回答案,QH-A-YZ-0027,本纪九雍正四年正月戊戌敕令易名阿其那。满文原义待专条。,,#/person/QH-P-000007,S二手转述
QH-GQ-0035,关系路径,孝昭仁皇后是谁？在位多久？,返回答案,QH-A-KX-0045；QH-A-KX-0047；QH-P-000060,钮祜禄氏。十六年八月丙寅由贵妃册后，十七年二月丁卯崩。康熙朝第二位皇后。,,#/empresses,S二手转述
QH-GQ-0036,关系路径,胤礽的生母是谁？她哪一天崩？,返回答案,QH-A-KX-0041；QH-A-KX-0042；QH-A-KX-0043,赫舍里氏。本纪与后妃传：十三年五月丙寅生皇子即日崩。实录诏文作五月初三日。,,#/empresses,S二手转述
QH-GQ-0037,关系路径,马齐在康熙四十七年储位议论里是什么角色？,返回答案,QH-P-000047,人物档把他登记为百官举荐胤禩事件的制度执行者。具体程序尚未拆成主张。,,#/person/QH-P-000047,U待核
QH-GQ-0038,版本冲突,太子初废是四十六年还是四十七年？,并陈冲突,QH-A-KX-0073；QH-A-KX-0074；QH-A-KX-0089；QH-CF-KX-DEPOSE-YEAR,实录与本纪作四十七年九月丁酉颁废。世表作四十六年废。两说并存。,,#/succession,C来源冲突
QH-GQ-0039,版本冲突,仁寿皇太后的徽号上册了没有？,并陈冲突,QH-A-KX-0054；QH-A-KX-0055；QH-CF-YZ-RENSHOU,后妃传：拟上徽号曰仁寿皇太后，未上册。本纪九崩条径称仁寿皇太后。两说并存。,,#/empresses,C来源冲突
QH-GQ-0040,版本冲突,「传位十四子」改诏说，已经打开的官书怎么写？,并陈冲突,QH-A-KX-0028；QH-A-KX-0033；QH-L-0007；QH-CF-KX-SUCCESSION,实录口谕和遗诏都点名皇四子胤禛，没有「传位十四子」或改字情节。改诏说留在对照栏，不覆盖原文。,,#/lane/QH-L-0007,C来源冲突
QH-GQ-0041,版本冲突,年羹尧是赐死还是自裁？,并陈冲突,QH-A-YZ-0026；QH-A-YZ-0038；QH-A-YZ-0042；QH-CF-YZ-NIAN-DEATH,本纪九作赐死。列传作狱中令自裁。实录卷39作令其自裁。三说并存。,,#/chapter/yongzheng-01,C来源冲突
QH-GQ-0042,版本冲突,隆科多的罪款是五十还是四十一？,并陈冲突,QH-A-YZ-0029；QH-A-YZ-0036；QH-A-YZ-0043；QH-CF-YZ-LONGKEDUO-COUNTS,本纪作大罪五十、著禁锢。实录卷62与列传作四十一款、畅春园外禁锢。不择一。,,#/person/QH-P-000048,C来源冲突
QH-GQ-0043,版本冲突,雍正即位和康熙遗诏是同一天吗？,并陈冲突,QH-A-KX-0028；QH-A-YZ-0004；QH-CF-KX-SUCCESSION,实录把口谕和遗诏都记在十一月十三日。本纪九：甲午崩，辛丑即位，中间隔七日。遗诏文本日和即位礼不是自动同一天。,,#/chapter/yongzheng-01,C来源冲突
QH-GQ-0044,版本冲突,第十四子世表用名和人物档用名一样吗？,并陈冲突,QH-CF-KX-YINTI-NAME；QH-P-000012,世表用胤禎。人物档常用胤禵，并记原名胤祯。三层名字并存，不是改诏证据。,,#/princes,C来源冲突
QH-GQ-0045,事实查询,「九子夺嫡」能当成哪一天的事件吗？,返回答案,QH-L-0021,不能。本库按立、废、复立、再废分日记录。九子夺嫡是后来概括，不得写成单一事件。,,#/lane/QH-L-0021,S二手转述
QH-GQ-0046,版本冲突,孝懿是册后当天崩，还是次日崩？,并陈冲突,QH-A-KX-0049；QH-A-KX-0050,本纪七：癸卯册后，甲辰崩。后妃传作翌日甲辰崩。是次日，不是当日同时。,,#/empresses,S二手转述
QH-GQ-0047,事实查询,胤禔有没有被立为太子？,返回答案,QH-A-KX-0087,实录丁丑上谕明确：并无欲立允禔为皇太子之意。这是否定句，不是后来削爵的证明。,,#/succession,E1单源回查
QH-GQ-0048,无证据拒答,康熙最爱哪一位皇后？,拒绝作答,QH-L-0004,,「最爱」不是史料用语。可核的是册立、生育、崩逝和谥号。后妃传与本纪都没有「最爱」这类判断。,#/empresses,X目前不可证
QH-GQ-0049,无证据拒答,孝诚仁皇后是被下毒的吗？,拒绝作答,QH-A-KX-0042；QH-L-0004,,本纪与后妃传只记生育当日崩。死因、难产、下毒均未写，不得补写。,#/empresses,X目前不可证
QH-GQ-0050,无证据拒答,隆科多把「十」改成「于」了吗？这件事已经证实了吗？,拒绝作答,QH-L-0007；QH-CF-KX-SUCCESSION；QH-A-YZ-0049,,已打开的实录口谕和遗诏都没有改字情节。觉迷录卷三登记了耿六格转述的改诏传闻，并另条自辩。传闻可以登记，不能当成已核事实，也不能写成已经证伪。,#/lane/QH-L-0007,X目前不可证
QH-GQ-0051,无证据拒答,吕四娘刺死雍正了吗？,拒绝作答,QH-L-0009,,目前没有可定位的A1/A2材料支持宫门刺杀。吕留良案是文字狱，和女刺客入宫不是同一件事。,#/lane/QH-L-0009,X目前不可证
QH-GQ-0052,无证据拒答,雍正是吃丹药暴崩的吗？,拒绝作答,QH-A-YZ-0032；QH-A-YZ-0041；QH-L-0008；QH-CF-YZ-DEATH,,本纪只写崩。实录卷159：己丑子刻上崩，未写地点，未写死因。丹药是后出说法。官书未写不等于已证伪。两种说法并存，丹药不升格为事实。,#/lane/QH-L-0008,X目前不可证
QH-GQ-0053,无证据拒答,九子夺嫡是哪一天开始的？,拒绝作答,,,没有这样一个事件日期。请改问立太子、拘执、颁废、复立或再废的具体日子。,#/succession,X目前不可证
QH-GQ-0054,无证据拒答,实录有没有写康熙死在清溪书屋？,拒绝作答,QH-A-KX-0037；QH-ST-0013,,已打开的实录崩逝条作寝宫。清溪书屋是后来说法，不能写进该主张。,#/site/QH-ST-0013,X目前不可证
QH-GQ-0055,事实查询,《大义觉迷录》里改诏传说的原文是哪一句？,返回答案,QH-A-YZ-0049；QH-A-YZ-0050,卷三记耿六格供称转述：「圣祖皇帝原传十四阿哥允禵天下，皇上将『十』字改为『于』字。」驳语另条。不是曾静原供。不能写成已经证伪。,,#/chapter/yongzheng-04,E1单源回查
QH-GQ-0056,事实查询,《世宗实录》记雍正崩在几点、哪座殿？,返回答案,QH-A-YZ-0032；QH-SU-YZ-QSL-0159A,《世宗实录》卷159：己丑子刻上崩。未写地点，未写死因。本纪只写己丑上崩，年五十八。,,#/chapter/yongzheng-01,E1单源回查
QH-GQ-0057,无证据拒答,玉牒里康熙诸子的自然顺序是什么？,拒绝作答,QH-SU-QSG-0164,,玉牒原件未见。卷164是后出皇子世表，表序不能当成玉牒自然序。,#/princes,U待核
QH-GQ-0058,无证据拒答,年羹尧倒台是因为年妃死了吗？,拒绝作答,QH-L-0005,,年氏之死与年羹尧获罪的先后尚未排成已核时间线。军政处分链见本纪三年诸条，不能用宫斗剧倒推因果。,#/lane/QH-L-0005,X目前不可证
QH-GQ-0059,无证据拒答,胤禛是皇后亲生所以最有资格继位吗？,拒绝作答,QH-A-KX-0053；QH-L-0003,,乌雅氏在康熙朝最高位号是德妃，不是皇后。嫡出叙事不能这样写。资格问题要回到遗诏、口谕和制度文本，不能用「皇后所出」一句话解决。,#/empresses,X目前不可证
QH-GQ-0060,无证据拒答,雍正死在圆明园哪一座殿？,拒绝作答,QH-A-YZ-0032；QH-A-YZ-0041；QH-ST-0004,,本纪九与《世宗实录》卷159均未写地点或殿名。圆明园今地条讲的是后来被焚掠的遗址，不能倒推崩殿。,#/site/QH-ST-0004,X目前不可证
QH-GQ-0061,事实查询,公主表里，康熙亲生女写了几个？几个未封？,返回答案,QH-A-KX-0093；QH-A-KX-0118,公主表圣祖系亲生女二十人：未封十二，受封八。另附抚弟常宁第一女，不计入这二十。,,#/princesses,S二手转述
QH-GQ-0062,事实查询,荣宪公主一开始就是固伦公主吗？,返回答案,QH-A-KX-0095；QH-A-KX-0096,不是。卷166：初封和硕荣宪公主，康熙四十八年进封固伦荣宪公主。,,#/chapter/kangxi-08,S二手转述
QH-GQ-0063,关系路径,温宪公主的生母是谁？和雍正什么关系？,返回答案,QH-A-KX-0105；QH-A-KX-0051,公主表：圣祖第九女，孝恭仁皇后生。与胤禛、胤禵、第七女、第十二女同为孝恭所出候选。当时孝恭是德妃，不是皇后。玉牒未见。,,#/person/QH-P-000111,S二手转述
QH-GQ-0064,无证据拒答,玉牒里康熙皇女的自然顺序是什么？,拒绝作答,QH-SU-QSG-0166,,玉牒原件未见。卷166是后出公主表，表序不能当成玉牒自然序。,#/princesses,U待核
QH-GQ-0065,事实查询,嘉庆元年即位后，乾隆是否马上完全交出军国重务？,返回答案,QH-A-QL-0003；QH-A-JQ-0003,《清史稿》卷15记军国重务仍奏闻、由太上皇裁决；卷16记太上皇“训政”。这证明史稿如此描述制度安排，不等于每项政务均已逐案核实。,,#/chapter/jiaqing-04,S二手转述
QH-GQ-0066,版本冲突,嘉庆元年授受大典是戊申还是戊辰？,并陈冲突,QH-A-QL-0001；QH-A-JQ-0001；QH-CF-QL-JQ-ABDICATION-GANZHI,《清史稿》卷15作正月戊申朔，卷16作正月戊辰朔；两卷均指同一次正月朔授受大典。本库不静默改字，待对影印本和历法库。,,#/chapter/jiaqing-04,C来源冲突
QH-GQ-0067,事实查询,乾隆崩后五天，和珅已经被处死了吗？,返回答案,QH-A-JQ-0004；QH-A-JQ-0006；QH-A-JQ-0008,没有。卷16记壬戌太上皇崩，五个干支日后丁卯和珅下狱鞫讯，再过十日到丁丑才赐死于狱。应写“第五天下狱、十五日后赐死”。,,#/lane/QH-L-0032,E1单源回查
QH-GQ-0068,无证据拒答,和珅抄家总额已经证实是八亿两吗？,拒绝作答,QH-A-JQ-0011,,卷319转录的二十大罪列出若干金银、房屋和当铺项目，但没有“八亿两”这一总数，也不是独立抄家清册。须回内务府、军机处档案核总额。,#/lane/QH-L-0032,X目前不可证
QH-GQ-0069,无证据拒答,二十大罪，是不是每一条都另外查过档？,拒绝作答,QH-A-JQ-0011；QH-A-JQ-0012,,不能。卷319保存的是政治清算上谕的列罪文本；逐款是否有审讯、账册或实物互证，需要分别查档，不能把“上谕指控”直接改写成二十项独立事实。,#/lane/QH-L-0032,X目前不可证
QH-GQ-0070,版本冲突,继皇后那拉氏是乌拉那拉还是辉发那拉？,并陈冲突,QH-CF-QL-NALA；QH-L-0033,后妃传与后来叙述有乌拉、辉发两说。本库不择一。,,#/lane/QH-L-0033,C来源冲突
QH-GQ-0071,无证据拒答,继皇后是因为抗旨断发才被废的吗？,拒绝作答,QH-L-0033；QH-CF-QL-NALA,,官书有断发叙述和「迹类疯迷」一类用语，没有写成抗旨宫斗。收册宝、丧仪降格还没钉到逐条原文。不能把废后写成已核的感情事件。,#/lane/QH-L-0033,X目前不可证
QH-GQ-0072,无证据拒答,同治皇后阿鲁特氏是吞金、绝食，还是被逼死的？,拒绝作答,QH-P-000057,,正史含糊。吞金、绝食、被逼均无原始文件。请改问官方怎么写同治之死，或看天花对照栏。,#/lane/QH-L-0025,X目前不可证
QH-GQ-0073,无证据拒答,杜受田教奕詝「藏拙示孝」，这件事已经证实了吗？,拒绝作答,QH-P-000055,,这是后来追叙，不是当时档案。立储反复可以问，不能把这一套教法写成已核事实。,#/chapter/daoguang-01,X目前不可证
QH-GQ-0074,无证据拒答,剃发、圈地、逃人是一道令同时下去的吗？,拒绝作答,,,三道令分开颁。本库尚未打开任何一种法令全文，不能写成「一声令下」的日期。请改问入关那年发生了什么。,#/chapter/shunzhi-01,X目前不可证
QH-GQ-0075,事实查询,《大义觉迷录》里华夷那一句原文是什么？,返回答案,QH-A-YZ-0047,卷一：「本朝之为满洲，犹中国之有籍贯。舜为东夷之人，文王为西夷之人，曾何损于圣德乎？」这是刊本自辩。同旨也见于实录七年九月十二日。,,#/chapter/yongzheng-04,E1单源回查
QH-GQ-0076,事实查询,实录有没有写「刊成《大义觉迷录》」那一天？,返回答案,QH-A-YZ-0052；QH-A-QL-0007,已打开的七年九月至十二月未见书名。九月十二日颁的是华夷上谕。十三年十月十九日才点出书名，并称颁发原书、停讲解、缴回礼部。,,#/chapter/yongzheng-04,E1单源回查
QH-GQ-0077,事实查询,乾隆一即位就把《大义觉迷录》销毁了吗？,返回答案,QH-A-QL-0007,已打开的实录只写十三年十月十九日停讲解、缴原书、候再降旨。续旨未钉。不能写成销毁完成。也不是乾隆元年。,,#/chapter/yongzheng-04,E1单源回查
QH-GQ-0078,版本冲突,曾静、张熙最后怎么死的？是乾隆元年吗？,并陈冲突,QH-A-QL-0008；QH-A-QL-0010；QH-CF-QL-ZENGJING-DEATH,实录十三年十二月十九日：凌迟处死。本纪：磔于市。两说并存。日期在雍正十三年十二月，不是乾隆元年。,,#/chapter/yongzheng-04,C来源冲突
QH-GQ-0079,事实查询,康熙五十一年九月三十日，实录先写了什么？,返回答案,QH-A-KX-0125；QH-A-KX-0122,第1/2条：奉皇太后回驻畅春园。第2/2条才是拘执看守。回驻不是废太子。,,#/chapter/kangxi-02,E1单源回查
QH-GQ-0080,版本冲突,康熙是哪一天回驻畅春园、哪一天崩的？,并陈冲突,QH-A-KX-0126；QH-A-KX-0037；QH-A-YZ-0055；QH-A-YZ-0056,圣祖实录：戊子不豫、自南苑回驻畅春园；甲午戌刻崩于寝宫。世宗实录甲午条用「先是」追记戊子回驻，本日记戌刻宾天。回驻日不是崩日。不得把寝宫改成畅春园。,,#/chapter/kangxi-01,C来源冲突
QH-GQ-0081,版本冲突,办理军机处是哪一年改称的？,并陈冲突,QH-A-YZ-0058；QH-A-YZ-0065；QH-A-YZ-0045；QH-A-YZ-0046；QH-A-YZ-0030；QH-CF-YZ-JUNJI,年表十年三月写改军机房称办理军机处。实录同月初三日是铸办理军机印信，没有改称句。七年密办、七年始设军机房、十年本纪始于此，另面仍在。会典未开。不择一。,,#/chapter/yongzheng-01,C来源冲突
QH-GQ-0082,事实查询,雍正皇子表里有没有第四子这一行？,返回答案,QH-A-YZ-0059；QH-P-000019,卷165世宗系没有第四子行。缺号的是高宗弘历。不能读成雍正没有第四子。,,#/princes?era=yongzheng,S二手转述
QH-GQ-0083,无证据拒答,仁宗实录里和珅是哪几天被抓、被赐死的？,拒绝作答,QH-A-JQ-0006；QH-A-JQ-0008,,韩国站仁宗实录日页本次未打开。现有分日只坐《清史稿》卷16：丁卯下狱、丁丑赐死。不能把卷16写成已经用实录核过。,#/chapter/jiaqing-04,X目前不可证
