visual_id,emperor_id,人物,对象标题,图像性质,制作年代或摄影日期,作者或摄影者,文件页,预览文件,文件页标示许可,权利颜色,可本地保存,可公开展示,对象认定状态,核查日期,使用说明,待核问题,展示角色,关键标注,画面解析,释文,卡片钩子,馆藏登录号
QH-V-E08B,QH-E-08,爱新觉罗·旻宁,道光帝园居像,历史宫廷行乐图,清代,清宫画家,https://commons.wikimedia.org/wiki/File:Emperor_Daoguang_Sitting_in_Garden.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Emperor_Daoguang_Sitting_in_Garden.JPG/500px-Emperor_Daoguang_Sitting_in_Garden.JPG,Public domain,绿,是,是,文件题名明确,2026-08-13,其他真迹。非朝服正像。,核对象原题、年代与画中人物认定依据,其他真迹,便服；园林；坐具非宝座；行乐场景,此图把皇帝放进园林坐具与花木之间，衣饰不是朝会龙袍。它属于行乐/园居传统，用来补充‘宫廷生活’视觉，不能当定妆照。人物认定目前主要依据文件题名，原作题跋和馆藏说明仍待核。,,,
QH-V-E09,QH-E-09,爱新觉罗·奕詝,清文宗咸丰皇帝朝服像,历史宫廷朝服像,19世纪,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E3%80%8A%E5%92%B8%E4%B8%B0%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/%E3%80%8A%E5%92%B8%E4%B8%B0%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E3%80%8A%E5%92%B8%E4%B8%B0%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。读书行乐图另见 QH-V-E09B。,核原作馆藏号与制作年代,默认朝服像,明黄龙袍；冬朝冠；宝座坐像,咸丰朝服像维持清宫皇帝正像传统。第二次鸦片战争、圆明园被毁等事件不会出现在朝服像中；那些必须另建事件页。此像只回答‘官方如何画这位皇帝’，不回答战争责任。,,园子烧掉那年，人已经在热河。,
QH-V-E09B,QH-E-09,爱新觉罗·奕詝,咸丰帝读书像,历史宫廷行乐图,19世纪,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:Emperor_Xianfeng_reading.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Emperor_Xianfeng_reading.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,其他真迹。非标准朝服像。,核原作馆藏号、制作年代与场景原题,其他真迹,便服或常服；读书；室内陈设,读书像把皇帝放进书斋，强调‘勤学’姿态。它不是朝会定妆，分辨率和裁切也较低。可作为其他真迹浏览，但人物认定和原题仍须回馆藏对象页。,,,
QH-V-E10,QH-E-10,爱新觉罗·载淳,清穆宗同治皇帝朝服像,历史宫廷朝服像,19世纪,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E7%A9%86%E5%AE%97%E5%90%8C%E6%B2%BB%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E7%A9%86%E5%AE%97%E5%90%8C%E6%B2%BB%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg/500px-%E6%B8%85_%E4%BD%9A%E5%90%8D_%E3%80%8A%E6%B8%85%E7%A9%86%E5%AE%97%E5%90%8C%E6%B2%BB%E7%9A%87%E5%B8%9D%E6%9C%9D%E6%9C%8D%E5%83%8F%E3%80%8B.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。写字行乐图另见 QH-V-E10B。,核原作馆藏号及画中年龄阶段,默认朝服像,明黄龙袍；冬朝冠；宝座坐像；幼帝成年后的礼仪形象,同治朝服像把一位幼年即位的皇帝画成完整的朝服坐像。它表现的是帝位，不是1861年六岁儿童的日常面貌。祺祥年号从未正式行用，更不会出现在朝服像题名中。,,帘子后面是两宫太后。,
QH-V-E10B,QH-E-10,爱新觉罗·载淳,同治帝写字像,历史宫廷行乐图,19世纪,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:Emperor_Tongzhi_writing.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Emperor_Tongzhi_writing.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,其他真迹。非标准御容。,核原作馆藏号及画中人物认定,其他真迹,书案；书写；非朝服正像,写字像属于活动场景，不是朝服定妆。现有数字文件偏小，只适合作为对照，不适合当识别用头像。,,,
QH-V-E11,QH-E-11,爱新觉罗·载湉,清德宗光绪皇帝朝服像,历史宫廷朝服像,晚清,佚名宫廷画家,https://commons.wikimedia.org/wiki/File:Emperor_Guangxu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Emperor_Guangxu.jpg/500px-Emperor_Guangxu.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,十二帝网格默认图。常服历史照片另见 QH-V-E11B。,核原作馆藏号、绘制年代与是否为晚年御容,默认朝服像,明黄龙袍；冬朝冠；宝座坐像；绘画而非照片,光绪仍有传统朝服轴，说明清宫到二十世纪初仍用绘画制作皇帝正像。与1906年常服照片对照：朝服像是礼仪绘画，照片才是光学记录。两张都不能单独说明戊戌或庚子的政治决策。,,戊戌那一百天，他想自己管事。,
QH-V-E11B,QH-E-11,爱新觉罗·载湉,光绪帝常服照片,历史照片,1906-04-30,Charles Denby,https://commons.wikimedia.org/wiki/File:Emperor_Guangxu_in_Ordinary_Clothes.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Emperor_Guangxu_in_Ordinary_Clothes.jpg/500px-Emperor_Guangxu_in_Ordinary_Clothes.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,其他真迹。真实照片，但不是朝服定妆。来源注明 China and her people。,核出版物具体版次页码与拍摄者身份,其他真迹,照片；常服；1906年；光学记录,这是目前可见的光绪真实照片之一，穿常服而非明黄朝袍。它比朝服轴更接近容貌记录，但拍摄场合、修整和出版物裁切都要另核。默认头像仍用朝服像，以保持十二帝识别系统一致；点进人物页可看这张照片。,,,
QH-V-E12,QH-E-12,爱新觉罗·溥仪,宣统帝朝服照片,历史照片,二十世纪前期；文件页说明指向复辟朝服照,佚名摄影师,https://commons.wikimedia.org/wiki/File:Xuantong.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Xuantong.jpg,Public domain,绿,是,是,文件题名作宣统帝；来源说明或为复辟朝服照,2026-08-13,十二帝网格默认图。溥仪没有与前十一帝同系列的清宫朝服轴，故用朝服照片代替。不得标为1908—1912在位期御照，除非另有日期证据。,区分1908—1912在位照、1917复辟照与退位后小朝廷照,默认朝服像,明黄龙袍；朝冠；照片；幼年或少年容貌；时态待核,清宫未给溥仪留下与康雍乾同系列的大幅朝服轴。这张照片让他穿着明黄龙袍和朝冠，视觉上最接近‘黄色定妆’，但文件页同时出现‘宣统帝’与‘复辟朝服照’两种说法。1917年张勋复辟时溥仪已退位五年，故此照最多证明‘有人拍过他穿朝服’，不能默认成在位期官方定妆。退位后紫禁城生活照见 QH-V-E12B。,,退位那年，还是个孩子。,
QH-V-E12B,QH-E-12,爱新觉罗·溥仪,溥仪在紫禁城,历史照片,1914—1924,作者未明,https://commons.wikimedia.org/wiki/File:Puyi_in_the_Forbidden_City.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Puyi_in_the_Forbidden_City.jpg,Public domain,绿,是,是,文件题名明确,2026-08-13,其他真迹。退位后小朝廷时期照片，不可误标为清朝在位期御照。,继续寻找并核验1908—1912在位期照片,其他真迹,照片；退位后；紫禁城；常服或便装,摄于清帝退位之后、仍居紫禁城的小朝廷时期。服装不是朝会龙袍，场景是宫廷生活而非朝会。它是真实历史照片，但时间属于1912年以后，不能用来代表宣统在位的官方形象。,,,
QH-V-E01C,QH-E-01,爱新觉罗·努尔哈赤,明金战争图（或与萨尔浒相关的后世战争画）,后世历史画,待核,佚名,https://commons.wikimedia.org/wiki/File:Minggunbattle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Minggunbattle.jpg/500px-Minggunbattle.jpg,Public domain,绿,是,是,战争场景明确；是否即萨尔浒待核,2026-08-13,相关史迹视觉。不是战场遗址照片，也不是同时代战报附图。,文件题名未写萨尔浒，须对照图说与战役地标后再决定是否升级为萨尔浒专图,相关史迹,明金战争；火器；后世画；非遗址照片,此图表现明军与后金/清军交战，常见于萨尔浒叙事插图，但文件页并未标明具体战役。它只能说明后人对这场战争的想象，不能当1619年现场记录。萨尔浒主战场在抚顺大伙房水库一带，不是新宾兴京。今地另见今地条。,,,
QH-V-E01D,QH-E-01,爱新觉罗·努尔哈赤,新宾兴京一带今貌（赫图阿拉/兴京周边）,现代地景照片,21世纪,见 Commons 文件页,"https://commons.wikimedia.org/wiki/File:Views_from_Xingjing_Bridge,_Xinbin.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Views_from_Xingjing_Bridge%2C_Xinbin.jpg/500px-Views_from_Xingjing_Bridge%2C_Xinbin.jpg,CC0,绿,是,是,地点在新宾兴京，接近赫图阿拉故地；不是萨尔浒古战场定点照片,2026-08-13,相关史迹。现代地貌，不能倒推1619年战场。CC0。,萨尔浒主战场今地已另立条；仍须核萨尔浒城、界藩城坐标与乾隆萨尔浒碑现存位置,相关史迹,兴京；新宾；赫图阿拉周边；现代照片,赫图阿拉是努尔哈赤起兵后的重要驻地，兴京即其地理记忆。这张照片拍的是今日新宾兴京桥一带，可帮助定位，但河流、植被和建筑都是现代层。萨尔浒主战场在抚顺大伙房水库一带，不是这张兴京桥。今地已另立条。,,,
QH-V-E01E,QH-E-01,爱新觉罗·努尔哈赤,乾隆御制《太祖大破明师于萨尔浒山之战书事》,御制史论文本,乾隆四十一年前后,爱新觉罗·弘历撰；永璇等有书册传本,https://digitalarchive.npm.gov.tw/Collection/Detail/1545?dep=P,,馆藏数字影像待逐项核权,黄,仅保存自建录文与书目,仅外链,文本为乾隆追述开国之战，不是努尔哈赤同时代战报,2026-08-13,黄色资源：只展示短引文和外链，不嵌入台北故宫高清图。,沈阳故宫所藏萨尔浒碑现状与拓本权利,相关史迹,乾隆追述；萨尔浒；御制文；非努尔哈赤亲笔,这是乾隆对萨尔浒之战的官方再叙述，用来塑造开国记忆，不是1619年的原始军报。,御制己未岁我太祖大破明师于萨尔浒山之战书事。盖闻国之将兴必有祯祥。然祯祥之赐由乎天而致。天之赐则由乎人。予小子于己未岁我太祖大破明师于萨尔浒之战，益信此理之不爽也。,,
QH-V-E03C,QH-E-03,爱新觉罗·福临,摄政王多尔衮令旨,清初官方文书,顺治初年,摄政王多尔衮衙署,https://commons.wikimedia.org/wiki/File:%E6%91%84%E6%94%BF%E7%8E%8B%E5%A4%9A%E5%B0%94%E8%A1%AE%E4%B8%8B%E5%8F%91%E7%9A%84%E4%BB%A4%E6%97%A8.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/%E6%91%84%E6%94%BF%E7%8E%8B%E5%A4%9A%E5%B0%94%E8%A1%AE%E4%B8%8B%E5%8F%91%E7%9A%84%E4%BB%A4%E6%97%A8.jpg/500px-%E6%91%84%E6%94%BF%E7%8E%8B%E5%A4%9A%E5%B0%94%E8%A1%AE%E4%B8%8B%E5%8F%91%E7%9A%84%E4%BB%A4%E6%97%A8.jpg,Public domain,绿,是,是,文件题名为多尔衮令旨；不是顺治帝朱批,2026-08-13,相关文书。幼帝时期军政文书常由摄政王发出，不得标成皇帝亲批。,核档号、收文对象与发布时间,奏折朱批,令旨；摄政王；满汉文；非皇帝朱批,顺治即位时尚幼，多尔衮以摄政王发令旨。这件文书说明清初权力结构，但不能当作福临亲笔朱批。朱批奏折制度要到康熙以后才稳定成型。,此件为摄政王令旨，不是皇帝朱批。释文须按原件满汉文逐行校对后再登录；目前只展示图像与制度说明。,,
QH-V-E04C,QH-E-04,爱新觉罗·玄烨,康熙御书兰亭碑,御笔碑刻,康熙年间书；今存碑刻,玄烨书；照片依 Commons 文件页署名,https://commons.wikimedia.org/wiki/File:Kangxi_Lanting_tablet.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Kangxi_Lanting_tablet.JPG/500px-Kangxi_Lanting_tablet.JPG,CC BY 3.0,绿,是,是,碑刻题为康熙御书兰亭系统,2026-08-13,御笔书法。照片依 CC BY 3.0 署名 Commons 文件页作者。碑刻是复制传播层，须与纸本墨迹区分。,核立碑地点、底本与是否为康熙亲笔上石,御笔书法,行书；兰亭；碑刻；御书,康熙多次临《兰亭》，此为碑刻传本。书法可见皇帝以二王传统自我塑造，但不能把每一处‘康熙御笔’匾额都当成同一天、同一稿。照片许可是 CC BY，须保留拍摄者署名。,碑文为《兰亭序》临写系统，全文以原石为准。此处不整篇录文，避免把碑刻拓本与王羲之原文层混为一谈。,,
QH-V-E04D,QH-E-04,爱新觉罗·玄烨,康熙朝宫中档奏折（原件入口）,朱批奏折原件,康熙朝,具奏官员；玄烨朱批,https://qingarchives.npm.edu.tw/index.php?act=Display/image/32306oS0k=kU,,馆藏影像待逐项核权,黄,仅保存档号与短引文,仅外链,台北故宫清档系统可检索康熙朝奏折；本条不嵌入原图,2026-08-13,黄色资源。能浏览不等于可复制。点原站核原折与朱批。,为康雍样本选定10件高优先级折件并逐件登录档号,奏折朱批,宫中档；朱批；原件外链；不镜像,康熙朝已经常用奏折朱批。朱笔批在折面、折尾或贴黄。,常见朱批形态包括「览」「知道了」及针对该折的具体指示。在未打开指定原折前，不把通行概括写成某件奏折的全文。,,
