lane_id,栏目,相关人物ID,标题,通行说法,官书或档案怎么写,野史笔记或影视怎么写,差异或读法,证据状态,权利颜色,来源入口,来源说明,罕读原因,待核问题,使用说明,冲突组 ID,核查日期
QH-L-0011,野史对照,QH-P-000019,香妃和容妃不是自动等同,乾隆有一个身上带香的新疆妃子香妃，不屈服，被太后赐死。,档案和陵寝系统里有容妃和卓氏。内务府活计档、衣物、容妃园寝是可以核的对象。‘香妃’作为通俗专名，主要来自晚出传说和旅游叙事。,香妃不浴、身有异香、刀抗乾隆、被太后赐死，并配上喀什香妃墓。,容妃有档可查；香妃故事是另一套文本。未核活计档之前，不把两套名字压成一个人，也不把赐死当事实。,C来源冲突,黄,https://www.dpm.org.cn/court/lineage/226263.html,乾隆人物页作入口。活计档一般人读不到，见罕读栏。,,容妃档案中的名称、入宫、死亡与园寝；香妃故事最早出处。,对照用。不把景区解说词当档案。,QH-CF-QL-XIANGFEI,2026-08-13
QH-L-0012,野史对照,QH-P-000001,孝庄下嫁,孝庄太后下嫁多尔衮。,本库尚未为孝庄建立人物档。官书有尊号、太皇太后礼制和多尔衮封号、追罪，没有一条本库已打开的‘下嫁诏’。,从蒋良骐《东华录》相关争议、到民国史论和影视，下嫁说反复出现，也反复被反驳。,这是清初最著名的野史之一。没有人物档、没有打开的原始诏旨之前，只登记传说，不建婚姻关系边。,C来源冲突,黄,https://zh.wikisource.org/wiki/%E6%B8%85%E5%8F%B2%E7%A8%BF/%E5%8D%B7214,后妃传与多尔衮本传都只是后出史书。真正要核的是顺治朝诏旨和满文档案。,,下嫁说最早出处；反证材料清单；是否需要为孝庄建档。,野史栏。禁止生成‘孝庄—多尔衮婚姻’关系。,QH-CF-XZ-REMARRY,2026-08-13
QH-L-0013,罕读史料,QH-P-000001；QH-P-000002,宫中档朱批原件：一般人只看得到刻本,雍正朱批很毒舌，网上段子就是原件。,《雍正朱批谕旨》是后来选刻的，有删选。要看某件原批，须回台北故宫清档系统的宫中档原折。朱笔常见只是‘览’‘知道了’，长批针对该折，不能用段子代替。,网络把刻薄朱批当雍正人设，很少说明是刻本还是原折、哪一件。,刻本是公开流传层；原折图像是黄色资源，能浏览不等于能复制。本库只给入口和制度说明。,E1单源回查,黄,https://qingarchives.npm.edu.tw/index.php?act=Landing%2Finformation,SRC-006 台北故宫清代档案检索系统。对应图像对象 QH-V-E04D、QH-V-E05C、QH-V-E06G。,原折在清档系统里，按人名时间检索；不在通俗读物里。高清图按馆方规则外链，不镜像。,为康雍样本选定可登录档号的原折各若干件。,罕读栏的核心：告诉你去哪看，不把原件整页贴进来。,,2026-08-13
QH-L-0014,罕读史料,QH-P-000001；QH-P-000002,玉牒：家谱在档案馆里，不在百度百科里,谁是谁的第几子，网上一查就有。,玉牒是宗人府按修次编写的皇家谱牒，记出生、婚姻、生母、过继、封爵。不同修次会改写。一条关系必须落到版本、卷页和编修时间。,通俗家谱把齿序、自然序、封爵序混成一个‘排行’。,本库家庭字段仍是待取证。卷164皇子表已打开，但仍是后出《清史稿》，不能冒充玉牒。表序、自然序、封爵序必须分栏。,U待核,黄,https://www.saac.gov.cn/daj/dawxyc/201201/d9e6e3e05d3b4cb698712b308fa09c1e.shtml,SRC-026。一史馆有玉牒保管说明；原件阅览受馆方规则限制。,原件在档案馆，网上多是介绍文章。零预算不能承诺完整原件。,取得可合法核验的康雍阶段具体玉牒版本与卷页。用玉牒回核承瑞是否为出生序长子。,罕读入口。介绍页不是谱系证据。,,2026-08-13
QH-L-0015,罕读史料,,一史馆原档：能预约，不等于能拍回去,档案数字化了，上网就能下。,中国第一历史档案馆提供目录检索和查档预约。数字档案现场阅览存在禁止拍摄等限制。网上可查目录，不等于原档图像可复制再发布。,自媒体常配一张来源不明的‘档案照’当作已经公开。,这是权利问题，不是史学观点。本库把一史馆原档默认黄色/红色：只存档号、短引文、外链。,E1单源回查,红,https://fhac.com.cn/detail/1308.html,SRC-004 查档预约与阅览规则。目录见 SRC-001。,原件在馆内。规则页写明阅览限制。一般读者看不到原卷，也拍不走。,康熙晚年至雍正初年相关全宗与档号清单。,告诉你为什么有些‘内幕档案’不能贴图。,,2026-08-13
QH-L-0016,罕读史料,QH-P-000035；QH-P-000010,满文奏折：汉文实录经常不收的一层,清史都有汉文，看实录就够了。,内务府、宫中档、军机处有大量满文或满汉合璧。苏麻喇姑病逝治丧这类宫廷日常，往往先出现在满文奏折，而不是《实录》大字。,不进入这一层，直接用汉文传说补情节。,满文不是神秘咒语，是另一套公文。读不到，通常是因为需要满文能力和馆藏权限，不是因为被故意藏起来给小说用。,U待核,黄,https://qingarchives.npm.edu.tw/index.php?act=Landing%2Finformation,台北故宫清档可检索满汉奏折。一史馆满文档案到馆。不自动翻译。,满文阅读门槛高；原件在馆。本库禁止模型自动补译未核文本。,为苏麻喇姑病逝条找到可引用的满汉档号。,罕读栏。发现入口，不伪造译文。,,2026-08-13
QH-L-0017,罕读史料,QH-P-000001,实录写本：你读到的是排印，还有大红绫、小红绫,网上那篇《清实录》就是原件。,韩国国史编纂委员会明清实录站说明：卷1—150所据为中国第一历史档案馆藏原皇史宬大红绫本；卷202—300所据为故宫博物院图书馆藏原乾清宫小红绫本。本库康熙即位、崩逝、初废拘执、颁废、复立条都链到该站的具体条次。,不区分写本、排印本、今译，直接当‘原始档案’引用。,实录已是官修编年，不是原档。写本层还要再记一层。免费浏览不等于允许整库镜像。,E1单源回查,黄,https://sillok.history.go.kr/mc/id/qsilok_005_3000_0010_0010_0110_0010,SRC-027。崩逝条1/2、遗诏条2/2、即位条、卷234丁丑/丁酉、卷237辛巳均已入库。,条次级原文在韩国站；写本图像和底本说明一般通俗读物不提。,核原本图像与数字文本是否一致。十四年十二月立太子与五十一年再废条次仍待钉。,这是‘一般人其实读得到、但很少读到条次’的入口。,,2026-08-13
QH-L-0018,罕读史料,QH-P-000045；QH-P-000047,内阁大库：另一套中央档案，不在畅销书里,清宫档案就是故宫那些折子。,中研院史语所藏内阁大库档案，包括诏敕、题奏、移会等。索额图、马齐这类大臣的制度运行，常要靠内阁文书，而不是只靠实录叙事。,把所有宫廷政治写成寝宫密谈。,内阁大库补的是外朝文书层。使用规则单独为红/黄，不能把检索权限当成批量再利用许可。,U待核,黄,https://newarchive.ihp.sinica.edu.tw/mcttp/,SRC-010、SRC-011。,系统在中研院；部分功能受规则限制；不是大众阅读界面。,核查与 50 人样本相关的可见档件层级与引用格式。,罕读入口。遵守站方规则。,,2026-08-13
QH-L-0019,后宫趣事,QH-P-000060；QH-P-000001；QH-P-000030,孝昭仁皇后：册后约半年即崩,康熙第二个皇后很快就死了，宫里说克夫，所以后来不敢再立后。,后妃传：钮祜禄氏，遏必隆女，初为妃；康熙十六年八月册为皇后；十七年二月丁卯崩。本纪六同日谥孝昭皇后。二十年与仁孝同葬昌瑞山陵。,宫斗剧里戏份很少；或把短命写成被前任阴魂、被佟佳氏排挤。也有把她和温僖贵妃混成一个人。,可核的是在位短、崩逝日期和初谥。克夫、不敢再立后，都不是本条史料字段。温僖贵妃是后妃传所记孝昭之妹，另有人物档，不能合并。,S二手转述,黄,#/empresses,已打开《清史稿》卷214、卷6。实录十六年册后、十七年崩逝条仍待打开。,,册妃日期；实录条次；与温僖贵妃的姐妹关系是否能落到玉牒。,用来对照四后在位长短。禁止写成克夫。,,2026-08-13
QH-L-0020,后宫趣事,QH-P-000003；QH-P-000071；QH-P-000001；QH-P-000004；QH-P-000002,康熙的‘老大’有两个口径,康熙三十五个儿子，老大是胤禔，太子是老二，雍正是老四。,《清史稿》卷164：胤禔，圣祖第一子；承瑞列于卷末，只写圣祖子早薨，没有第N子号。同书后妃传荣妃条：承瑞为圣祖长子，四岁殇。卷164在第三子与第五子之间跳号，第四子胤禛不在本卷。,影视按‘皇长子、皇太子、皇四子’排角色，早殇的承瑞、承祐直接消失，或把所有排行合成一个数字。,长子、第一子、皇二子、皇四子是不同口径。表序不是玉牒，也不是出生清单。早殇未入序的儿子仍然是儿子。,C来源冲突,黄,#/princes,已打开卷164、卷214。冲突组 QH-CF-KX-PRINCE-ORDER。,,玉牒各修次如何给承瑞、承祐编号；胤禛在宗室档中的序齿字段。,用来拆排行，不用来数‘康熙有几个儿子’的畅销书结论。,QH-CF-KX-PRINCE-ORDER,2026-08-13
QH-L-0021,野史对照,QH-P-000004；QH-P-000001；QH-P-000003；QH-P-000007；QH-P-000002,「九子夺嫡」是后世概括，不是一天的事件,康熙晚年九个儿子抢皇位，叫九子夺嫡。,《清史稿》本纪：十四年十二月立太子；四十七年九月丁丑拘执、丁酉颁废；四十八年三月复立；五十一年九月再废锢咸安宫、十一月告庙。《圣祖实录》卷234：乙亥驻布尔哈苏台、丁丑拘执、丁酉颁诏；卷237：辛巳授册宝复立。,影视和通俗读物把数十年储位纠纷收成一个剧名或一条词条，常用「九子夺嫡」当单一事件，并把十月封王写成夺嫡开场。,官书是立、废、复立、再废四段加若干处分，不是一个事件。本库禁止用「九子夺嫡」做事件名。,S二手转述,黄,#/succession,已打开卷6、卷8、卷164、卷220，以及实录卷234丁丑拘执、丁酉颁诏、卷237辛巳复立。冲突组：立储乙丑/丙寅、初废四十六/四十七年、再废九月/十月。,,十四年十二月立太子与五十一年再废的实录条次；起居注与奏折目录尚未打开。,用来拆标签，不用来讲宫斗。打开储位链看分日事件。,QH-CF-KX-DEPOSE-YEAR,2026-08-13
QH-L-0022,野史对照,QH-P-000019,乾隆是汉人吗？,乾隆生母是汉人女子，被换入宫，所以他其实是海宁陈家的孩子。这条传说在晚清民国笔记和当代影视里反复出现，常用来解释他亲近汉文化、六下江南。,实录、玉牒记乾隆生母钮祜禄氏，满洲镶黄旗，即后来的孝圣宪皇后。本库人物档已把她登记为弘历生母。玉牒原文尚未打开，不把旗分写成已核家谱。,电视剧常演「以女换子」入宫，把海宁陈家写成乾隆真正的老家。,出生传说按来源登记，不提前否证。档案所见生母是钮祜禄氏。换子说目前不可证。,X目前不可证,绿,,,,,用于展示出生传说与档案记载的差异，本库不提前否证。,,2026-08-14
QH-L-0023,野史对照,QH-P-000019,香妃与容妃,香妃是回部王妃，被掳入宫，身有异香，不屈服，后来被太后赐死。喀什还有香妃墓，常被当成她的葬地。,容妃是乾隆妃，和卓氏，来自回部。入宫后封贵人、容嫔、容妃。内务府活计档、衣物和容妃园寝是可以核的对象。本库尚未打开这些档。,影视剧多演「香妃」故事：不浴、身香、刀抗、赐死，并配上喀什香妃墓。,香妃是后世叙事，容妃是档案所见。未核活计档之前，不把两套名字压成一个人。,X目前不可证,绿,,,,,用于区分香妃传说与容妃档案，二者不得自动等同。,,2026-08-14
QH-L-0024,野史对照,QH-P-000058,光绪被慈禧毒死,慈禧临死前毒死光绪，怕自己一死他就翻案。两个人死在前后两天，被读成谋杀时间表。,本纪只写崩。现代检测支持急性砷中毒。检测报告是二十世纪以后的科学层，不是光绪朝档案。凶手是谁，报告没有写。,影视剧多演慈禧下令毒死，把前后两天的崩逝写成同一条宫斗。,下毒者未知，不能写成慈禧已证。砷中毒与「谁下的毒」必须分栏。,C来源冲突,绿,,,,,砷检测报告属现代层，不能据此倒推凶手已证。,,2026-08-14
QH-L-0025,野史对照,QH-P-000057,同治微服出宫,同治常微服逛窑子，得了梅毒才死。官方说天花，是为了遮羞。,官书记天花，无微服记录。本库尚未打开《穆宗实录》崩逝条，故不填写死亡时刻，也不把梅毒写进官书栏。,晚清笔记多写微服故事，并把天花说成掩饰。,梅毒说晚出，降为传闻层。官方天花与民间微服是两套文本，不择一抹平。,X目前不可证,绿,,,,,用于展示官方天花记载与民间微服传说的差异。,,2026-08-14
QH-L-0026,野史对照,QH-P-000053,太后下嫁,孝庄下嫁多尔衮。清初满洲旧俗允许，所以太后成了摄政王的妻子。,清实录、玉牒无下嫁记录。官书有尊号、太皇太后礼制和多尔衮封号、追罪，没有本库已打开的「下嫁诏」。,清末民初小说多写此段，后来戏曲和影视反复使用。,下嫁说起源登记，不提前否证。没有打开的原始诏旨之前，不建婚姻关系边。,X目前不可证,绿,,,,,用于登记太后下嫁说的来源层次，不提前否证。,,2026-08-14
QH-L-0027,罕读史料,QH-P-000001,康熙起居注册,起居注比实录更原始，要看康熙每天做什么，应该直接读起居注。,一史馆藏康熙起居注册，部分已出版。它是逐日档册，仍须落到具体日期和版本，不能当成已经全部公开的原文库。,很少被通俗历史引用。影视更不会按起居注的日子来拍。,本库未打开，先登记入口。起居注不是实录的同义词，也不能代替原档。,U待核,绿,,,起居注原件在一史馆，已出版者仍少被通俗史逐日引用。,,用于登记本库尚未打开的起居注入口，不引用原文。,,2026-08-14
QH-L-0028,罕读史料,QH-P-000002,雍正朱批谕旨,雍正批奏折很勤，朱批又长又毒舌，最能见他的性格。,台北故宫藏原件，有出版影印本。通行阅读多据后来选刻的《雍正朱批谕旨》，刻本有删选。,常被用于证明雍正勤政。网络段子很少说明是刻本还是原折。,刻本和原件有差异。本库尚未逐件核对，只登记入口。,U待核,绿,,,原件在台北故宫，通行阅读多据刻本，原批图像不在畅销书里。,,用于登记朱批刻本与原件差异，本库尚未逐件核对。,,2026-08-14
QH-L-0029,后宫趣事,QH-P-000019,孝仪纯皇后魏佳氏,嘉庆生母是汉人包衣，后来才抬旗。宫斗剧里的魏璎珞就是她。,魏佳氏，内管领清泰女，乾隆四十年崩。后谥孝仪纯皇后。本库尚未打开后妃传与玉牒对应段落。,宫斗剧多演「魏璎珞」故事，把抬旗、争宠和育子收成一条上升线。,身份等级按当时记载，不写宫斗剧情。包衣、抬旗、皇后谥号是三层，不能合成一个人设。,S二手转述,绿,,,,,用于展示嘉庆生母魏佳氏的档案记录，不写宫斗剧情。,,2026-08-14
QH-L-0030,后宫趣事,QH-P-000055,道光节俭故事,道光穿补丁衣服，宫里连灯油都要省。这条故事用来证明他是最节俭的皇帝，也用来解释为什么打不过鸦片战争。,本纪无此记录。节俭作为评价，多见于后来的笔记和通俗史，不是本纪里的一条制度。,晚清笔记多写道光节俭：补丁、打补丁的套裤、宫里节省灯油。,节俭故事来源待核。不能用补丁衣服证明财政政策，也不能用财政困难证明他一定穿补丁。,U待核,绿,,,,,用于登记道光节俭故事的来源，不提前当作事实。,,2026-08-14
QH-L-0031,后宫趣事,QH-P-000056,咸丰的「四春」,咸丰有四春宠妃，园居时最亲近这四个人，圆明园因此成了享乐现场。,档案中未见把某四位妃嫔归成「四春」的正式封号。本库尚未打开咸丰朝后妃传对应段落。,晚清笔记有此说法，后来被通俗史和影视收成固定角色组。,晚清笔记说法，降级登记。不能把「四春」写成当时的制度身份。,X目前不可证,绿,,,,,用于展示咸丰四春笔记说法与档案记载的差异。,,2026-08-14
