source_unit_id,source_entity_id,史料名,卷次,原纪年,网页公历标示,当日条次,直接记录网址,数字底本说明,证据等级,权利策略,核查日期,说明
QH-SU-YZ-QSG-0295A,SRC-025,清史稿,卷295,隆科多传,,列传,https://zh.wikisource.org/wiki/清史稿/卷295,维基文库《清史稿》卷295列传八十二。后出列传，可与本纪矛盾，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,隆科多：孝懿仁皇后弟；圣祖大渐召受顾命；五年四十一款，承旨者惟隆科多一人，畅春园外禁锢；六年六月死于禁所。
QH-SU-YZ-QSG-0295B,SRC-025,清史稿,卷295,年羹尧传,,列传,https://zh.wikisource.org/wiki/清史稿/卷295,维基文库《清史稿》卷295列传八十二。后出列传，可与本纪矛盾，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,年羹尧：世宗即位命管理大将军印务；三年十二月狱辞九十二款，狱中令自裁。自裁与本纪赐死并存。
QH-SU-YZ-QSL-0001A,SRC-027,世宗宪皇帝实录,卷1,康熙六十一年十一月二十日,1722,1/5,https://sillok.history.go.kr/mc/id/qsilok_006_0010_0010_0010_0090_0010,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,即位礼辛丑条。素服诣梓宫前告受命于大行皇帝；御太和殿升座；中和乐设而不作；免宣庆贺表。
QH-SU-YZ-QSL-0001B,SRC-027,世宗宪皇帝实录,卷1,康熙六十一年十一月二十日,1722,2/5,https://sillok.history.go.kr/mc/id/qsilok_006_0010_0010_0010_0090_0020,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,即位诏：以明年为雍正元年；诏自述皇考升遐之日诏朕缵承大统；并述及皇二子两废。颁诏大赦条款未逐条拆入。
QH-SU-YZ-QSL-0159A,SRC-027,世宗宪皇帝实录,卷159,雍正十三年八月二十三日,1735,1/5,https://sillok.history.go.kr/mc/id/qsilok_006_1590_0010_0010_0220_0010,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,崩逝条：己丑子刻上崩。未写地点（不写圆明园），未写死因，未写疾大渐。
QH-SU-YZ-QSL-0039A,SRC-027,世宗宪皇帝实录,卷39,雍正三年十二月十一日,1726,1/3,https://sillok.history.go.kr/mc/id/qsilok_006_0390_0010_0010_0100_0010,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,年羹尧案：议政大臣列九十二款全目；得旨令其自裁；年富立斩、年遐龄年希尧革职免罪等处置同条，未逐条拆入。
QH-SU-YZ-QSL-0062A,SRC-027,世宗宪皇帝实录,卷62,雍正五年十月五日,1727,2/3,https://sillok.history.go.kr/mc/id/qsilok_006_0620_0010_0010_0050_0020,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-18,隆科多狱辞：顺承郡王锡保等列大不敬五、欺罔四、紊乱朝政三、奸党六、不法七、贪婪十六；上谕称四十一款，免正法，畅春园外附近空地造屋三间永远禁锢。同日第1/3条为丁亥李楠革职，第3/3条未拆入。细目未逐款拆入。
QH-SU-YZ-QSL-0120A,SRC-027,世宗宪皇帝实录,卷120,雍正十年六月二十六日,1732,1/1,https://sillok.history.go.kr/mc/id/qsilok_006_1200_0010_0010_0180_0010,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-18,办理军机大臣议奏追封阵亡台吉策勒克为辅国公，子密什克世袭罔替。全文无「军机大臣之设始于此」。本纪该句不得写入本单元。
QH-SU-YZ-QSL-0082A,SRC-027,世宗宪皇帝实录,卷82,雍正七年六月十日,1729,2/4,https://sillok.history.go.kr/mc/id/qsilok_006_0820_0010_0010_0090_0020,世宗宪皇帝实录据中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-18,得旨：两路军机筹算已久；军需交怡亲王、张廷玉、蒋廷锡密为办理；西路专任岳钟琪；经理二年有余。全文无军机房、无办理军机处、无始设。同日第1/4条为惠延祖署延绥总兵，第3/4、4/4条未拆入。
QH-SU-YZ-QSG-0176A,SRC-025,清史稿,卷176,雍正七年六月,1729,军机大臣年表,https://zh.wikisource.org/wiki/清史稿/卷176,维基文库《清史稿》卷176表十六军机大臣年表。后出史表，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-18,年表年头作「六月，始设军机房」。同表记六月癸未命允祥、张廷玉、蒋廷锡密办军需。十年三月改军机房称办理军机处。始设句是年表总述，不是实录原文。
