source_unit_id,source_entity_id,史料名,卷次,原纪年,网页公历标示,当日条次,直接记录网址,数字底本说明,证据等级,权利策略,核查日期,说明
QH-SU-KX-0234A,SRC-027,圣祖仁皇帝实录,卷234,康熙四十七年九月乙亥,1708,1/2,https://sillok.history.go.kr/mc/id/qsilok_005_2340_0010_0010_0020_0010,卷234属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,九月初二乙亥驻跸布尔哈苏台。同条前有十八阿哥病「諒已無濟」谕，不得写成废太子原因。页面仅标公历年1708。
QH-SU-KX-0234B,SRC-027,圣祖仁皇帝实录,卷234,康熙四十七年九月丁丑,1708,1/2,https://sillok.history.go.kr/mc/id/qsilok_005_2340_0010_0010_0030_0010,卷234属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,九月初四丁丑长谕与拘执。上谕「生而剋母」等只记为用语，不得写成已核诊断或死因。与同日第2/2条允祄薨分层。页面仅标公历年1708。
QH-SU-KX-0234C,SRC-027,圣祖仁皇帝实录,卷234,康熙四十七年九月丁丑,1708,2/2,https://sillok.history.go.kr/mc/id/qsilok_005_2340_0010_0010_0030_0020,卷234属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,同日第2/2条：皇子允祄薨。不得与第1/2条拘执合成因果关系。页面仅标公历年1708。
QH-SU-KX-0234D,SRC-027,圣祖仁皇帝实录,卷234,康熙四十七年九月丁酉,1708,1/2,https://sillok.history.go.kr/mc/id/qsilok_005_2340_0010_0010_0190_0010,卷234属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,九月二十四丁酉颁诏废太子。诏书自述九月十八日告祭，与丁丑拘执、丁酉颁诏分三日。诏文「狂易成疾」只记为用语。页面仅标公历年1708。
QH-SU-KX-0234E,SRC-027,圣祖仁皇帝实录,卷234,康熙四十七年九月戊戌,1708,1/2,https://sillok.history.go.kr/mc/id/qsilok_005_2340_0010_0010_0200_0010,卷234属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,九月二十五戊戌上谕转述拘禁时允禔奏对。不得写成八爷党或镇魇已证。页面仅标公历年1708。
QH-SU-KX-0237A,SRC-027,圣祖仁皇帝实录,卷237,康熙四十八年三月辛巳,1709,1/3,https://sillok.history.go.kr/mc/id/qsilok_005_2370_0010_0010_0070_0010,卷237属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-13,三月初十辛巳授册宝复立皇太子并复封皇太子妃。当日1/3；2/3、3/3未拆入本单元。页面仅标公历年1709。
QH-SU-QSG-0166,SRC-025,清史稿,卷166,公主表圣祖系,,圣祖二十女加抚育一女,https://zh.wikisource.org/wiki/清史稿/卷166,维基文库《清史稿》卷166公主表。后出表，不作玉牒替代，不作终审。,C,只保存必要短引文定位与链接不镜像整库,2026-08-14,圣祖亲生女第一至第二十，另附抚弟恭亲王常宁第一女。和硕/固伦、下嫁、生薨按表登记。追进固伦不得写成生前进封。额驸同名不自动合并。玉牒原件未见。
QH-SU-KX-0058A,SRC-027,圣祖仁皇帝实录,卷58,康熙十四年十二月十三日,1676,1/2,https://sillok.history.go.kr/mc/id/qsilok_005_0580_0010_0020_0090_0010,卷58属于中国第一历史档案馆藏原皇史宬大红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,立太子丙寅条。册立仪与正副使。同日第2/2条为户部折征军饷，不拆入。
QH-SU-KX-0251A,SRC-027,圣祖仁皇帝实录,卷251,康熙五十一年九月三十日,1712,2/2,https://sillok.history.go.kr/mc/id/qsilok_005_2510_0010_0010_0250_0020,卷251属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,再废第一日：谕诸皇子拘执看守，未写废字与咸安宫。同日第1/2条奉皇太后回驻畅春园，不拆入。明日指十月初一辛亥。
QH-SU-KX-0251B,SRC-027,圣祖仁皇帝实录,卷251,康熙五十一年十月初一日,1712,4/64,https://sillok.history.go.kr/mc/id/qsilok_005_2510_0010_0020_0010_0040,卷251属于故宫博物院图书馆藏原乾清宫小红绫本所据范围,A2,只保存必要短引文定位与链接不镜像整库,2026-08-14,再废第二日：御笔朱书谕仍行废黜禁锢。同日第1-3条为祭祀与时宪历，不拆入。本条仍无咸安宫。
