scheme_code,scheme_label,term_code,中文标签,英文标签,定义,上位词,逆关系,是否启用,排序
relationship_type,关系类型,has_ritual_mother,礼仪母为,Has ritual mother,在特定礼仪或制度语境中被视作母亲,kinship,ritual_mother_of,true,90
relationship_type,关系类型,ritual_mother_of,为礼仪母,Ritual mother of,主体在特定礼仪或制度语境中为客体之母,kinship,has_ritual_mother,true,100
relationship_type,关系类型,has_adoptive_parent,养父母为,Has adoptive parent,通过正式收养或过继形成的父母关系,kinship,adoptive_parent_of,true,110
relationship_type,关系类型,adoptive_parent_of,为养父母,Adoptive parent of,主体通过正式收养或过继成为客体父母,kinship,has_adoptive_parent,true,120
relationship_type,关系类型,has_foster_parent,抚育者为,Has foster parent,以抚育事实形成但不等于正式收养的关系,kinship,foster_parent_of,true,130
relationship_type,关系类型,foster_parent_of,为抚育者,Foster parent of,主体承担客体抚育职责但不必然具有法定亲子关系,kinship,has_foster_parent,true,140
relationship_type,关系类型,spouse_of,配偶为,Spouse of,婚姻关系；对称关系,kinship,spouse_of,true,150
relationship_type,关系类型,betrothed_to,订婚对象为,Betrothed to,存在订婚但未必最终成婚；对称关系,kinship,betrothed_to,true,160
relationship_type,关系类型,full_sibling_of,同父同母手足为,Full sibling of,同父且同母的手足关系,kinship,full_sibling_of,true,170
relationship_type,关系类型,paternal_half_sibling_of,同父异母手足为,Paternal half-sibling of,同父不同母的手足关系,kinship,paternal_half_sibling_of,true,180
relationship_type,关系类型,maternal_half_sibling_of,同母异父手足为,Maternal half-sibling of,同母不同父的手足关系,kinship,maternal_half_sibling_of,true,190
relationship_type,关系类型,member_of_lineage,属于宗支或家族,Member of lineage,主体隶属于特定宗支家族或谱系,affiliation,lineage_has_member,true,200
relationship_type,关系类型,lineage_has_member,宗支或家族成员为,Lineage has member,特定宗支家族包含主体,affiliation,member_of_lineage,true,210
relationship_type,关系类型,teacher_of,为师,Teacher of,主体是客体明确记载的教师,social,student_of,true,220
relationship_type,关系类型,student_of,从师于,Student of,主体受教于客体,social,teacher_of,true,230
relationship_type,关系类型,political_ally_of,政治盟友为,Political ally of,在明确时间与议题下形成政治合作；对称关系,political,political_ally_of,true,240
relationship_type,关系类型,political_opponent_of,政治对手为,Political opponent of,在明确时间与议题下形成政治对立；对称关系,political,political_opponent_of,true,250
assertion_status,主张状态,draft,草稿,Draft,尚未进入正式复核的候选主张,,,true,10
assertion_status,主张状态,in_review,审核中,In review,已提交并正在进行来源与学术复核,,,true,20
assertion_status,主张状态,accepted,已采纳,Accepted,通过规定审核且可进入正式展示,,,true,30
assertion_status,主张状态,disputed,有争议,Disputed,存在未解决的相互冲突证据或解释,,,true,40
assertion_status,主张状态,rejected,已驳回,Rejected,经审核不成立或证据不足,,,true,50
assertion_status,主张状态,deprecated,已废弃,Deprecated,曾使用但被新版本取代或撤回,,,true,60
evidence_stance,证据立场,supports,支持,Supports,该证据直接或间接支持主张,,,true,10
evidence_stance,证据立场,contradicts,反驳,Contradicts,该证据与主张相冲突,,,true,20
evidence_stance,证据立场,contextualizes,提供语境,Contextualizes,该证据帮助解释但不直接证明主张,,,true,30
evidence_stance,证据立场,mentions_only,仅提及,Mentions only,材料只提到相关对象而不支持主张,,,true,40
evidence_directness,证据直接性,explicit,明确记载,Explicit,来源直接陈述该事实,,,true,10
evidence_directness,证据直接性,inferred,推定,Inferred,由来源内容推论而非直接陈述,,,true,20
evidence_directness,证据直接性,contextual,语境性,Contextual,仅提供背景语境,,,true,30
evidence_directness,证据直接性,argument_from_silence,以沉默为据,Argument from silence,以材料未记载某事作为论证的一部分,,,true,40
evidence_strength,证据强度,primary,一手直接,Primary,与事件或制度形成过程直接相关的一手材料,,,true,10
evidence_strength,证据强度,strong,强,Strong,与命题高度相关且来源链条清楚,,,true,20
evidence_strength,证据强度,moderate,中,Moderate,具有支持力但存在间接性或版本局限,,,true,30
evidence_strength,证据强度,weak,弱,Weak,只能提供有限线索或来源质量较低,,,true,40
evidence_strength,证据强度,unrated,未评级,Unrated,尚未由审核者给出强度判断,,,true,50
certainty,确定性,exact,确定,Exact,证据支持精确陈述,,,true,10
certainty,确定性,approximate,约略,Approximate,时间数量或描述只能给出近似值,,,true,20
certainty,确定性,uncertain,不确定,Uncertain,有明确不确定性但仍可提出候选,,,true,30
certainty,确定性,approximate_uncertain,约略且不确定,Approximate and uncertain,同时存在近似与不确定,,,true,40
certainty,确定性,inferred,推定,Inferred,由编辑根据材料推定而来,,,true,50
certainty,确定性,unknown,未知,Unknown,目前无法判断,,,true,60
rights_color,权利颜色,green,绿,Green,已确认公版开放许可或书面授权；仍须遵守对象级条件,,,true,10
rights_color,权利颜色,yellow,黄,Yellow,仅可查询或权利未完全确认；默认只保存自建元数据并外链,,,true,20
rights_color,权利颜色,red,红,Red,明确禁止或当前条件不允许计划中的获取展示或商业使用,,,true,30
source_level,来源等级,A1,原始同时代档案,A1 primary contemporary archive,事件或制度运行中形成的原始档案,,,true,10
source_level,来源等级,A2,官修汇编与制度文献,A2 official compilation,官修实录会典史馆材料等；仍需注意修纂目的与时间差,,,true,20
source_level,来源等级,B,权威整理与学术研究,B scholarly or authoritative synthesis,可靠整理本馆藏说明与同行研究,,,true,30
source_level,来源等级,C,通行数字文本与参考工具,C reference or digital text,便于发现但版本OCR或权利需再核验,,,true,40
source_level,来源等级,D,未核传闻与大众内容,D unverified popular content,只能做线索不可进入正式事实层,,,true,50
review_status,审核状态,not_started,未开始,Not started,尚未分派审核,,,true,10
review_status,审核状态,needs_source,待补来源,Needs source,没有满足要求的具体来源与定位,,,true,20
review_status,审核状态,first_checked,一校完成,First checked,文字和基础元数据已完成一校,,,true,30
review_status,审核状态,second_checked,二校完成,Second checked,页行消歧日期与关系已完成二校,,,true,40
review_status,审核状态,academic_review,学术审核中,Academic review,由学术负责人或授权审核者复核,,,true,50
review_status,审核状态,rights_review,权利审核中,Rights review,由版权与馆藏负责人复核,,,true,60
review_status,审核状态,approved,已通过,Approved,已满足当前发布门槛,,,true,70
review_status,审核状态,blocked,阻塞,Blocked,因缺来源权限专家或其他前置条件无法继续,,,true,80
priority,优先级,P0,阻断级,P0 blocker,会导致错误历史结论侵权或不可恢复数据问题,,,true,10
priority,优先级,P1,核心级,P1 critical,阻断核心任务或造成系统性误导,,,true,20
priority,优先级,P2,重要级,P2 important,影响效率或非核心体验但不阻断验证,,,true,30
priority,优先级,P3,优化级,P3 polish,外观偏好或未来扩展想法,,,true,40
depiction_identification,画像人物认定,inscription_explicit,题名明确,Inscription explicit,画面题名或同时代文字明确指认人物,,,true,10
depiction_identification,画像人物认定,catalog_attribution,馆藏著录认定,Catalog attribution,当前馆藏目录把画面著录为该人物,,,true,20
depiction_identification,画像人物认定,scholarly_identification,学术研究认定,Scholarly identification,学术研究基于材料提出人物认定,,,true,30
depiction_identification,画像人物认定,traditional_identification,传统传称,Traditional identification,长期传为某人但证据链有限,,,true,40
depiction_identification,画像人物认定,probable,很可能,Probable,综合证据较可能但尚非确定,,,true,50
depiction_identification,画像人物认定,possible,可能,Possible,只能作为可能候选,,,true,60
depiction_identification,画像人物认定,rejected_identification,已否定认定,Rejected identification,已有充分理由否定旧的人物认定,,,true,70
image_nature,图像性质,historical_original,历史原件,Historical original,清代形成且与对象同时代或接近同时代的原件,,,true,10
image_nature,图像性质,later_historical_art,后世历史艺术,Later historical art,晚于对象所处时代的传统或历史题材创作,,,true,20
image_nature,图像性质,modern_illustration,现代插画,Modern illustration,现代人工创作的说明性或艺术性图像,,,true,30
image_nature,图像性质,ai_reconstruction,AI 再现,AI reconstruction,由生成式模型制作的假想视觉再现；不得伪装成史料,,,true,40
image_nature,图像性质,document_scan,文献影像,Document scan,书页档案或文献载体的数字影像,,,true,50
task_status,任务状态,not_started,未开始,Not started,任务尚未启动,,,true,10
task_status,任务状态,in_progress,进行中,In progress,任务已启动且正在推进,,,true,20
task_status,任务状态,blocked,阻塞,Blocked,任务因明确前置条件无法继续,,,true,30
task_status,任务状态,under_review,待审核,Under review,任务产出已提交等待审核,,,true,40
task_status,任务状态,complete,已完成,Complete,任务达到退出标准并已验收,,,true,50
risk_status,风险状态,open,开放,Open,风险已登记但尚未完成处置,,,true,10
risk_status,风险状态,mitigating,缓解中,Mitigating,已启动预防或缓解动作,,,true,20
risk_status,风险状态,accepted,已接受,Accepted,决策人知情并接受剩余风险,,,true,30
risk_status,风险状态,escalated,已升级,Escalated,风险超出当前团队权限或阈值,,,true,40
risk_status,风险状态,closed,已关闭,Closed,触发条件消失或措施已验证有效,,,true,50
decision_status,决策状态,proposed,待决定,Proposed,决策方案已提出但未生效,,,true,10
decision_status,决策状态,decided,已决定,Decided,授权决策人已作出并记录决定,,,true,20
decision_status,决策状态,superseded,已取代,Superseded,该决定被后续决定正式替代,,,true,30
decision_status,决策状态,reopened,已重开,Reopened,因触发条件变化而重新讨论,,,true,40
acquisition_method,获取方式,human_entry,人工录入,Human entry,由编辑直接录入或整理,,,true,10
acquisition_method,获取方式,structured_import,结构化导入,Structured import,从结构化文件或接口导入候选记录,,,true,20
acquisition_method,获取方式,rule_extraction,规则抽取,Rule extraction,由确定性规则生成候选,,,true,30
acquisition_method,获取方式,ocr_extraction,OCR 抽取,OCR extraction,由文字识别生成候选文本或字段,,,true,40
acquisition_method,获取方式,ner_extraction,实体识别抽取,NER extraction,由实体识别模型生成候选实体或提及,,,true,50
acquisition_method,获取方式,llm_extraction,大模型抽取,LLM extraction,由大模型生成候选但不得自动发布,,,true,60
assertion_kind,主张类型,entity_relation,实体关系,Entity relation,机构隶属师生政治联盟作者等通用实体关系,,,true,10
assertion_kind,主张类型,literal_statement,文字或数值陈述,Literal statement,以文字数值布尔时间或 URI 为值的主张,,,true,20
assertion_kind,主张类型,person_relationship,人物关系,Person relationship,亲属婚姻抚育承嗣等人物间关系,,,true,30
assertion_kind,主张类型,title_assignment,称号授予,Title assignment,人物在特定时间拥有称号爵位位号或官职,,,true,40
assertion_kind,主张类型,event_occurrence,事件发生,Event occurrence,事件的时间地点与层级关系,,,true,50
assertion_kind,主张类型,event_participation,事件参与,Event participation,实体以明确角色参与事件,,,true,60
assertion_kind,主张类型,depiction,图像表现认定,Depiction,视觉作品或图像区域表现某人物或对象,,,true,70
verification_status,证据核验状态,unverified,未核验,Unverified,证据项尚未核对到具体来源,,,true,10
verification_status,证据核验状态,locator_checked,定位已核,Locator checked,卷页档号或图像区域已核对,,,true,20
verification_status,证据核验状态,quote_checked,引文已核,Quote checked,引文与原件或可靠影像逐字核对,,,true,30
verification_status,证据核验状态,fully_verified,完全核验,Fully verified,定位版本引文与主张支持关系均已复核,,,true,40
assertion_predicate,主张谓词,accession_occurred,即位,accession_occurred,,,,true,10
assertion_predicate,主张谓词,ritual_self_designation,礼仪自称,ritual_self_designation,,,,true,20
assertion_predicate,主张谓词,accession_justification,即位理由,accession_justification,,,,true,30
assertion_predicate,主张谓词,delegated_heaven_announcement,遣官祭告昊天,delegated_heaven_announcement,,,,true,40
assertion_predicate,主张谓词,delegated_earth_announcement,遣官祭告地祇,delegated_earth_announcement,,,,true,50
assertion_predicate,主张谓词,delegated_ancestral_temple_announcement,遣官祭告太庙,delegated_ancestral_temple_announcement,,,,true,60
assertion_predicate,主张谓词,delegated_altars_announcement,遣官祭告社稷,delegated_altars_announcement,,,,true,70
assertion_predicate,主张谓词,performed_mourning_ritual,几筵行礼,performed_mourning_ritual,,,,true,80
assertion_predicate,主张谓词,paid_respects_to_empress_dowager,诣皇太后宫,paid_respects_to_empress_dowager,,,,true,90
assertion_predicate,主张谓词,ascended_throne_at,升座地点,ascended_throne_at,,,,true,100
assertion_predicate,主张谓词,ceremonial_music_status,中和乐状态,ceremonial_music_status,,,,true,110
assertion_predicate,主张谓词,waived_congratulatory_memorial,免宣贺表,waived_congratulatory_memorial,,,,true,120
assertion_predicate,主张谓词,issued_general_amnesty,颁诏大赦,issued_general_amnesty,,,,true,130
assertion_predicate,主张谓词,announced_next_reign_era,宣布次年年号,announced_next_reign_era,,,,true,140
assertion_predicate,主张谓词,testament_self_reported_reign_length,遗诏自述在位年数,testament_self_reported_reign_length,,,,true,150
assertion_predicate,主张谓词,testament_self_reported_age,遗诏自述年龄,testament_self_reported_age,,,,true,160
assertion_predicate,主张谓词,testament_descendant_count,遗诏自报子孙数,testament_descendant_count,,,,true,170
assertion_predicate,主张谓词,testament_self_reported_learning,遗诏自述读书,testament_self_reported_learning,,,,true,180
assertion_predicate,主张谓词,testament_self_reported_archery,遗诏自述骑射,testament_self_reported_archery,,,,true,190
assertion_predicate,主张谓词,testament_claimed_military_planning,遗诏军事自评,testament_claimed_military_planning,,,,true,200
assertion_predicate,主张谓词,testament_claimed_treasury_rule,遗诏财政自评,testament_claimed_treasury_rule,,,,true,210
assertion_predicate,主张谓词,testament_claimed_palace_decoration,遗诏行宫叙事,testament_claimed_palace_decoration,,,,true,220
assertion_predicate,主张谓词,testament_claimed_palace_annual_cost,遗诏宫费自报,testament_claimed_palace_annual_cost,,,,true,230
assertion_predicate,主张谓词,testament_claimed_riverworks_annual_cost,遗诏河工自报,testament_claimed_riverworks_annual_cost,,,,true,240
assertion_predicate,主张谓词,testament_requested_clan_protection,遗诏宗室保全,testament_requested_clan_protection,,,,true,250
assertion_predicate,主张谓词,testament_identified_yinzhen,遗诏点名胤禛,testament_identified_yinzhen,,,,true,260
assertion_predicate,主张谓词,testament_evaluated_yinzhen,遗诏评价胤禛,testament_evaluated_yinzhen,,,,true,270
assertion_predicate,主张谓词,designated_successor,指定继承人,designated_successor,,,,true,280
assertion_predicate,主张谓词,illness_became_critical,疾大渐,illness_became_critical,,,,true,290
assertion_predicate,主张谓词,summoned_yinzhen_from_zhai,召胤禛于斋所,summoned_yinzhen_from_zhai,,,,true,300
assertion_predicate,主张谓词,delegated_suburban_sacrifice,派员恭代南郊,delegated_suburban_sacrifice,,,,true,310
assertion_predicate,主张谓词,summoned_to_bedside,召至御榻前,summoned_to_bedside,,,,true,320
assertion_predicate,主张谓词,oral_designated_successor,御榻口谕指定继承人,oral_designated_successor,,,,true,330
assertion_predicate,主张谓词,arrived_at_sleeping_palace,趋进寝宫,arrived_at_sleeping_palace,,,,true,340
assertion_predicate,主张谓词,explained_worsening_illness,告以病势日臻,explained_worsening_illness,,,,true,350
assertion_predicate,主张谓词,visited_to_ask_after_health,进见问安,visited_to_ask_after_health,,,,true,360
assertion_predicate,主张谓词,died_at,崩逝地点与时刻,died_at,,,,true,370
assertion_predicate,主张谓词,present_at_bedside,御榻前在场,present_at_bedside,,,,true,380
assertion_predicate,主张谓词,invested_as_empress,册为皇后,invested_as_empress,,,,true,390
assertion_predicate,主张谓词,invested_as_consort,册为妃嫔,invested_as_consort,,,,true,400
assertion_predicate,主张谓词,gave_birth_to,生育,gave_birth_to,,,,true,410
assertion_predicate,主张谓词,died_on,崩逝,died_on,,,,true,420
assertion_predicate,主张谓词,posthumous_title_conferred,上谥,posthumous_title_conferred,,,,true,430
assertion_predicate,主张谓词,posthumous_title_changed,改谥,posthumous_title_changed,,,,true,440
assertion_predicate,主张谓词,buried_at,安葬,buried_at,,,,true,450
assertion_predicate,主张谓词,honored_as_empress_dowager,尊为皇太后,honored_as_empress_dowager,,,,true,460
assertion_predicate,主张谓词,named_in_table_as,世表用名,named_in_table_as,,,,true,470
assertion_predicate,主张谓词,listed_as_early_deceased,早薨未入序,listed_as_early_deceased,,,,true,480
assertion_predicate,主张谓词,described_as_eldest_son,称为长子,described_as_eldest_son,,,,true,490
assertion_predicate,主张谓词,adopted_out_to,过继出,adopted_out_to,,,,true,500
assertion_predicate,主张谓词,father_of_in_table,世表父系计数,father_of_in_table,,,,true,510
assertion_predicate,主张谓词,table_birth_order,世表序齿,table_birth_order,,,,true,520
assertion_predicate,主张谓词,table_daughter_order,公主表序齿,table_daughter_order,,,,true,530
assertion_predicate,主张谓词,invested_as_princess,封公主,invested_as_princess,,,,true,540
assertion_predicate,主张谓词,advanced_as_princess,进封公主,advanced_as_princess,,,,true,550
assertion_predicate,主张谓词,posthumously_advanced_as,追进封,posthumously_advanced_as,,,,true,560
assertion_predicate,主张谓词,married_to,下嫁,married_to,,,,true,570
assertion_predicate,主张谓词,born_on,出生,born_on,,,,true,580
assertion_predicate,主张谓词,fostered_not_begotten,抚育非亲生,fostered_not_begotten,,,,true,590
assertion_predicate,主张谓词,father_of_in_princess_table,公主表父系计数,father_of_in_princess_table,,,,true,600
assertion_predicate,主张谓词,unsealed_daughter_count,未封皇女计数,unsealed_daughter_count,,,,true,610
assertion_predicate,主张谓词,consort_title_stripped,额驸削号,consort_title_stripped,,,,true,620
assertion_predicate,主张谓词,absent_from_volume,本卷缺号,absent_from_volume,,,,true,630
assertion_predicate,主张谓词,stationed_at,驻跸,stationed_at,,,,true,640
assertion_predicate,主张谓词,stated_not_to_invest,上谕明示不欲立,stated_not_to_invest,,,,true,650
assertion_predicate,主张谓词,edict_stated_ritual_date,诏书自述告祭日,edict_stated_ritual_date,,,,true,660
assertion_predicate,主张谓词,reported_in_edict,上谕转述,reported_in_edict,,,,true,670
assertion_predicate,主张谓词,ordered_heir_date_selection,谕礼部择吉立太子,ordered_heir_date_selection,,,,true,675
assertion_predicate,主张谓词,invested_as_heir,立为皇太子,invested_as_heir,,,,true,680
assertion_predicate,主张谓词,arrested_as_heir,拘执废太子,arrested_as_heir,,,,true,690
assertion_predicate,主张谓词,deposed_as_heir,废皇太子,deposed_as_heir,,,,true,700
assertion_predicate,主张谓词,stripped_of_title,削爵,stripped_of_title,,,,true,710
assertion_predicate,主张谓词,petitioned_reinstatement,请复立,petitioned_reinstatement,,,,true,720
assertion_predicate,主张谓词,proposed_as_heir,被请立为储,proposed_as_heir,,,,true,730
assertion_predicate,主张谓词,released_from_confinement,释放,released_from_confinement,,,,true,740
assertion_predicate,主张谓词,reinstated_as_heir,复立为皇太子,reinstated_as_heir,,,,true,750
assertion_predicate,主张谓词,announced_deposition_at_temple,废储告庙,announced_deposition_at_temple,,,,true,760
assertion_predicate,主张谓词,ill_at,不豫地点,ill_at,,,,true,770
assertion_predicate,主张谓词,appointed_regency_council,命总理事务,appointed_regency_council,,,,true,780
assertion_predicate,主张谓词,recalled_to_capital,召还京师,recalled_to_capital,,,,true,790
assertion_predicate,主张谓词,invested_as_prince,封王,invested_as_prince,,,,true,800
assertion_predicate,主张谓词,appointed_as,授职,appointed_as,,,,true,810
assertion_predicate,主张谓词,honored_as,加衔,honored_as,,,,true,820
assertion_predicate,主张谓词,invested_as_duke,封公,invested_as_duke,,,,true,830
assertion_predicate,主张谓词,coffin_placed_at,奉安梓宫,coffin_placed_at,,,,true,840
assertion_predicate,主张谓词,sealed_heir_edict_behind,密旨收藏处,sealed_heir_edict_behind,,,,true,850
assertion_predicate,主张谓词,campaign_concluded,战事结束,campaign_concluded,,,,true,860
assertion_predicate,主张谓词,reprimanded_for_wording,责让用语,reprimanded_for_wording,,,,true,870
assertion_predicate,主张谓词,transferred_as,调任,transferred_as,,,,true,880
assertion_predicate,主张谓词,demoted_to,黜为,demoted_to,,,,true,890
assertion_predicate,主张谓词,granted_death,赐死或令自裁,granted_death,,,,true,900
assertion_predicate,主张谓词,renamed_as,易名,renamed_as,,,,true,910
assertion_predicate,主张谓词,imprisoned,禁锢,imprisoned,,,,true,920
assertion_predicate,主张谓词,imprisoned_at,禁锢地点,imprisoned_at,,,,true,930
assertion_predicate,主张谓词,institution_noted_as_begun,记为始设,institution_noted_as_begun,,,,true,940
assertion_predicate,主张谓词,institution_renamed_as,记为改称,institution_renamed_as,,,,true,941
assertion_predicate,主张谓词,maternal_uncle_of_empress,后弟,maternal_uncle_of_empress,,,,true,950
assertion_predicate,主张谓词,received_deathbed_charge,召受顾命,received_deathbed_charge,,,,true,960
assertion_predicate,主张谓词,titled_as,记作,titled_as,,,,true,970
