timeline_id,emperor_id,year,reign_year,event,status,source_refs,claim_ids
TL-QL-007,QH-E-06,1796,嘉庆元年,禅位，为太上皇,S二手索引,IDX-046,
TL-QL-008,QH-E-06,1799,嘉庆四年,崩,S二手索引,IDX-046,
TL-JQ-001,QH-E-07,1760,,生,S二手索引,IDX-047,
TL-JQ-002,QH-E-07,1796,嘉庆元年,即位（受内禅）,S二手索引,IDX-047,
TL-JQ-003,QH-E-07,1796,嘉庆元—四年,太上皇训政,S二手索引,IDX-047,
TL-JQ-004,QH-E-07,1799,嘉庆四年,乾隆崩，诛和珅,S二手索引,IDX-047,
TL-JQ-005,QH-E-07,1796,嘉庆朝,白莲教起义,S二手索引,IDX-047,
TL-JQ-006,QH-E-07,1813,嘉庆十八年,天理教攻宫,S二手索引,IDX-047,
TL-JQ-007,QH-E-07,1820,嘉庆二十五年,崩,S二手索引,IDX-047,
TL-DG-001,QH-E-08,1782,,生,S二手索引,IDX-048,
TL-DG-002,QH-E-08,1820,嘉庆二十五年,即位,S二手索引,IDX-048,
TL-DG-003,QH-E-08,1821,道光元年,改元,S二手索引,IDX-048,
TL-DG-004,QH-E-08,1839,道光十九年,林则徐虎门销烟,S二手索引,IDX-048,
TL-DG-005,QH-E-08,1840,道光二十年,第一次鸦片战争,S二手索引,IDX-048,
TL-DG-006,QH-E-08,1842,道光二十二年,《南京条约》,S二手索引,IDX-048,
TL-DG-007,QH-E-08,1850,道光三十年,崩,S二手索引,IDX-048,
TL-XF-001,QH-E-09,1831,,生,S二手索引,IDX-049,
TL-XF-002,QH-E-09,1850,道光三十年,即位,S二手索引,IDX-049,
TL-XF-003,QH-E-09,1851,咸丰元年,改元；太平天国起（金田起义）,S二手索引,IDX-049,
TL-XF-004,QH-E-09,1856,咸丰六年,第二次鸦片战争,S二手索引,IDX-049,
TL-XF-005,QH-E-09,1860,咸丰十年,圆明园被焚掠；北京条约,S二手索引,IDX-049,
TL-XF-006,QH-E-09,1861,咸丰十一年,避走热河；崩；赞襄政务八大臣,S二手索引,IDX-049,
TL-TZ-001,QH-E-10,1856,,生,S二手索引,IDX-050,
TL-TZ-002,QH-E-10,1861,咸丰十一年,即位,S二手索引,IDX-050,
TL-TZ-003,QH-E-10,1862,同治元年,改元（「祺祥」仅拟用）,S二手索引,IDX-050,
TL-TZ-004,QH-E-10,1861,咸丰十一年,辛酉政变，两宫垂帘,S二手索引,IDX-050,
TL-TZ-005,QH-E-10,1873,同治十二年,亲政,S二手索引,IDX-050,
TL-TZ-006,QH-E-10,1875,同治十三年,崩（官方记天花，梅毒说见对照栏）,S二手索引,IDX-050,
TL-GX-001,QH-E-11,1871,,生,S二手索引,IDX-051,
TL-GX-002,QH-E-11,1875,同治十三年,即位（过继，生父醇亲王奕譞）,S二手索引,IDX-051,
TL-GX-003,QH-E-11,1883,光绪九—十一年,中法战争,S二手索引,IDX-051,
TL-GX-004,QH-E-11,1884,光绪十年,新疆建省,S二手索引,IDX-051,
TL-GX-005,QH-E-11,1894,光绪二十—二十一年,甲午战争,S二手索引,IDX-051,
TL-GX-006,QH-E-11,1898,光绪二十四年,戊戌变法、政变,S二手索引,IDX-051,
TL-GX-007,QH-E-11,1900,光绪二十六—二十七年,义和团、八国联军、辛丑条约,S二手索引,IDX-051,
TL-GX-008,QH-E-11,1901,光绪末,清末新政,S二手索引,IDX-051,
TL-GX-009,QH-E-11,1908,光绪三十四年,崩（砷中毒检测属现代层，下毒者未知）,S二手索引,IDX-051,
TL-XT-001,QH-E-12,1906,,生,S二手索引,IDX-052,
TL-XT-002,QH-E-12,1908,光绪三十四年,即位,S二手索引,IDX-052,
TL-XT-003,QH-E-12,1909,宣统元年,改元,S二手索引,IDX-052,
TL-XT-004,QH-E-12,1908,宣统朝,载沣摄政,S二手索引,IDX-052,
TL-XT-005,QH-E-12,1911,宣统三年,武昌起义,S二手索引,IDX-052,
TL-XT-006,QH-E-12,1912,宣统三年十二月廿五,退位,S二手索引,IDX-052,
