work_id,emperor_id,文献名称,文献类型,编纂者/作者,成书年代,卷数,内容概述,证据状态,来源入口,备注,排序,dedicated_chapter,open_state,source_unit_ids
QH-W-027,QH-E-05,世宗宪皇帝御制文集,御制文集,雍正帝撰,乾隆朝编,30卷,雍正帝的诗文总集，包括论、序、记、碑文、诗等。是研究雍正思想与文采的直接材料。,S二手索引,,,270,,L0,
QH-W-028,QH-E-06,高宗纯皇帝实录,实录,敕修,嘉庆四年(1799)始修；嘉庆十二年成书,首卷5＋正文1500卷,乾隆朝编年史，是清代实录中卷帙最庞大的。涵盖平准噶尔、大小金川、四库全书、文字狱、马戛尔尼使团、禅位等。在位年数与实际掌权年数需分开。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,实录卷帙浩大，通行检索需明确时间范围；1796—1799太上皇训政期记录口径需注意,280,,L0,
QH-W-029,QH-E-06,高宗纯皇帝圣训,圣训,敕编,嘉庆十二年,300卷,分类辑录乾隆谕旨，卷帙为清代圣训之最。,S二手索引,,,290,,L0,
QH-W-030,QH-E-06,御制诗集,御制诗集,乾隆帝撰,乾隆朝陆续编成,454卷,乾隆帝的诗集，收录约42000首诗歌（一说43000余首）。数量之巨冠绝古今，但文学评价参差不齐。诗中大量涉及政事、巡幸、战争、园林等，是研究乾隆朝历史的重要侧面材料。,S二手索引,,诗歌数量各家统计略有出入；诗中政事记述需与实录、档案互证,300,,L0,
QH-W-031,QH-E-06,御制文集,御制文集,乾隆帝撰,乾隆朝陆续编成,92卷,乾隆帝的文集，包括论、序、记、碑文、说、杂著等。与诗集互为补充，展现其全面的文治形象。,S二手索引,,,310,,L0,
QH-W-032,QH-E-06,四库全书,敕编,纪昀等奉敕纂,乾隆三十八年(1773)开馆；四十七年(1782)第一部成,79337卷,中国古代规模最大的丛书，分经史子集四部，收书约3500种。编纂过程中同时禁毁了大量被认为「违碍」的书籍，禁毁书数量各家统计不同。是乾隆朝文治与思想控制的双重标志。,S二手索引,,禁毁书与收录书是同一事件的两面；四库本对原文的删改需注意,320,,L0,
QH-W-033,QH-E-06,四库全书总目提要,敕编,纪昀等奉敕纂,乾隆四十七年,200卷,为《四库全书》收录及存目的每一部书撰写的提要，是中国古代目录学的集大成之作。,S二手索引,,,330,,L0,
QH-W-034,QH-E-06,钦定大清会典,敕编,允祹等奉敕纂,乾隆二十九年,100卷,清代典章制度的系统汇编，乾隆朝在康熙、雍正两朝会典基础上续修。,S二手索引,,康熙、雍正、乾隆、嘉庆、光绪五朝均有修纂，引用时需注明版本,340,,L0,
QH-W-035,QH-E-07,仁宗睿皇帝实录,实录,敕修,道光四年,首卷4＋正文374卷,嘉庆朝编年史。涵盖太上皇训政期（1796—1799）、诛和珅、白莲教、天理教攻宫等。1796—1799年名义在位与实际权力必须分开阅读。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,训政期记录口径需标明,350,,L0,
QH-W-036,QH-E-07,仁宗睿皇帝圣训,圣训,敕编,道光四年,110卷,分类辑录嘉庆谕旨。,S二手索引,,,360,,L0,
QH-W-037,QH-E-07,御制文集,御制文集,嘉庆帝撰,嘉庆朝,50卷,嘉庆帝的诗文总集。,S二手索引,,,370,,L0,
QH-W-038,QH-E-07,御制诗集,御制诗集,嘉庆帝撰,嘉庆朝,180卷,嘉庆帝的诗集，数量在清代皇帝中仅次于乾隆。,S二手索引,,,380,,L0,
QH-W-039,QH-E-08,宣宗成皇帝实录,实录,敕修,咸丰六年,首卷5＋正文476卷,道光朝编年史。涵盖漕运盐政、禁烟、第一次鸦片战争、《南京条约》等。绵宁避讳改旻宁的名称时态需注意。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,避讳改名的时间节点需在引用时标明,390,,L0,
QH-W-040,QH-E-08,宣宗成皇帝圣训,圣训,敕编,咸丰六年,130卷,分类辑录道光谕旨。,S二手索引,,,400,,L0,
QH-W-041,QH-E-08,御制文集,御制文集,道光帝撰,道光朝,26卷,道光帝的诗文总集。,S二手索引,,,410,,L0,
QH-W-042,QH-E-08,御制诗集,御制诗集,道光帝撰,道光朝,58卷,道光帝的诗集。,S二手索引,,,420,,L0,
QH-W-043,QH-E-09,文宗显皇帝实录,实录,敕修,同治五年,首卷4＋正文356卷,咸丰朝编年史。涵盖太平天国、第二次鸦片战争、圆明园被焚掠、避走热河、赞襄政务安排等。外战内乱中的个人与制度责任需分开。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,对外失败责任的叙述立场需注意,430,,L0,
QH-W-044,QH-E-09,文宗显皇帝圣训,圣训,敕编,同治五年,110卷,分类辑录咸丰谕旨。,S二手索引,,,440,,L0,
QH-W-045,QH-E-09,御制文集,御制文集,咸丰帝撰,咸丰朝,10卷,咸丰帝的诗文总集。卷帙较小，与战乱环境有关。,S二手索引,,,450,,L0,
QH-W-046,QH-E-09,御制诗集,御制诗集,咸丰帝撰,咸丰朝,22卷,咸丰帝的诗集。,S二手索引,,,460,,L0,
QH-W-047,QH-E-10,穆宗毅皇帝实录,实录,敕修,光绪五年,首卷4＋正文374卷,同治朝编年史。涵盖辛酉政变、两宫垂帘、镇压太平天国、洋务运动、所谓「同治中兴」等。祺祥是拟用年号，不能并列为实际纪年。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,祺祥年号仅拟用未实施,470,,L0,
QH-W-048,QH-E-10,穆宗毅皇帝圣训,圣训,敕编,光绪五年,160卷,分类辑录同治谕旨。,S二手索引,,,480,,L0,
QH-W-049,QH-E-10,御制文集,御制文集,同治帝撰,同治朝,16卷,同治帝的诗文总集。幼年即位，亲政时间短，个人著述有限。,S二手索引,,,490,,L0,
QH-W-050,QH-E-10,御制诗集,御制诗集,同治帝撰,同治朝,12卷,同治帝的诗集。,S二手索引,,,500,,L0,
QH-W-051,QH-E-11,德宗景皇帝实录,实录,敕修,宣统朝始修；民国十年(1921)成书,首卷4＋正文597卷,光绪朝编年史。涵盖甲午战争、戊戌变法、义和团、清末新政等。是研究晚清变革与危机的最重要编年史料。注意：成书已在民国，编纂环境与清代诸实录不同。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,成书于民国，编纂立场需注意,510,,L0,
QH-W-052,QH-E-11,德宗景皇帝圣训,圣训,敕编,民国十年,145卷,分类辑录光绪谕旨。编纂背景与《德宗实录》同，成于民国。,S二手索引,,,520,,L0,
QH-W-053,QH-E-12,宣统政纪,政纪,敕修,民国间纂修,首卷1＋正文70卷,宣统朝的编年记录，体例仿实录但不称「实录」，因溥仪无清朝正式庙号谥号。涵盖摄政王载沣监国、预备立宪、武昌起义、清帝退位等。,S二手索引,https://fhac.com.cn/fulltext_detail/2/359377,不是「宣统帝实录」；溥仪无清朝庙号谥号,530,,L0,
QH-W-054,ALL,清实录（全帙）,实录汇编,中华书局影印,1986年影印出版,4433卷(含首卷),清代十一朝实录（含《满洲实录》）及《宣统政纪》的影印本，共60册。是当前最通行的完整版本。各朝实录的首卷、正文卷数、编纂年代和版本差异见各朝专条。,S二手索引,,影印本通行，但需注意版本差异；韩国站电子文本与影印本的对应关系需逐条核验,540,,L0,
QH-W-055,ALL,清代玉牒（各修次）,皇家谱牒/玉牒,敕修,清代屡修；末次修于宣统十三年（1921）,各修次不一；1921 年本单册 89×51 厘米,清朝历代皇帝宗族谱，分满、汉文两种，系统记录皇族人口与宗法谱系；最完整收藏在中国第一历史档案馆。,S二手索引,https://www.saac.gov.cn/daj/dawxyc/201201/d9e6e3e05d3b4cb698712b308fa09c1e.shtml,本库目录级（SRC-026）；谱系关系必须记修次与卷页，不得压成静态家谱,,550,L0,
QH-W-056,QH-E-04,康熙起居注（出版本）,起居注,中国第一历史档案馆整理,中华书局 1984 年,全三册,康熙朝逐日记录；原件藏中国第一历史档案馆，1984年中华书局出版三册影印本为通行替代层。入口见IDX-039。项目尚未逐件打开，不拆主张。,S二手索引,https://fhac.com.cn/consult.html,起居注是原始日录但出版本为替代层；引用须对版本；与实录互证时记两层差异；咸安宫最早出处待此层,,560,L0,
QH-W-057,QH-E-05,雍正起居注册（出版本）,起居注,中国第一历史档案馆编,中华书局 1993 年,全五册,雍正朝逐日记录；一史馆编《雍正朝起居注册》五册（中华书局1993）为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,同康熙起居注口径；继位日记录与实录对读时记差异,,570,L0,
QH-W-058,QH-E-06,乾隆帝起居注（出版本）,起居注,中国第一历史档案馆编,广西师范大学出版社 2002 年,全四十二册,乾隆朝逐日记录；出版本为通行替代层，原件藏一史馆。,S二手索引,https://fhac.com.cn/consult.html,与实录互证时记两层差异,,575,L0,
QH-W-059,QH-E-07,嘉庆帝起居注（出版本）,起居注,中国第一历史档案馆编,广西师范大学出版社 2002 年,全二十二册,嘉庆朝逐日记录；含太上皇训政期（1796-1799），出版本为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,训政期记录需单独看,,576,L0,
QH-W-060,QH-E-08,清代起居注册·道光朝,起居注,台北联合报文化基金会国学文献馆整理,1985 年,100 卷,道光朝逐日记录；台北联经出版本为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,与实录互证时记两层差异,,577,L0,
QH-W-061,QH-E-09,清代起居注册·咸丰朝,起居注,台北联合报文化基金会国学文献馆整理,1983 年,57 卷,咸丰朝逐日记录；台北联经出版本为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,避走热河时期记录需核,,578,L0,
QH-W-062,QH-E-10,清代起居注册·同治朝,起居注,台北联合报文化基金会国学文献馆整理,1983 年,43 卷,同治朝逐日记录；台北联经出版本为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,垂帘期与亲政期记录分层,,579,L0,
QH-W-063,QH-E-11,清代起居注册·光绪朝,起居注,台北联合报文化基金会国学文献馆整理,1987 年,80 卷,光绪朝逐日记录；台北联经出版本为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,戊戌前后记录需核,,580,L0,
QH-W-064,QH-E-12,宣统帝起居注（出版本）,起居注,中国第一历史档案馆编,广西师范大学出版社 2007 年,待核,宣统朝逐日记录；出版本为通行替代层。,S二手索引,https://fhac.com.cn/consult.html,摄政王监国期记录需核,,581,L0,
QH-W-065,ALL,满文老档（旧满洲档）,满文日录,内国史院等；乾隆朝重抄,天命至崇德；乾隆朝有重抄本,册数待核,努尔哈赤至皇太极时期的满文日录，早于实录。通行可见者多为乾隆重抄本及后来影印本。本库只登记入口，不拆条。,S二手索引,,乾隆重抄本不是天命原档。具体册数待核。,590,,L0,
QH-W-066,QH-E-04,平定三逆方略,方略,敕修,康熙朝,卷数待核,三藩之役的官修专题编年。事后进呈的战报体，不能代替《圣祖实录》逐日条。,S二手索引,,只登记书名。不进康熙大事记。,600,kangxi-06,L0,
QH-W-067,QH-E-06,平定准噶尔方略,方略,敕修,乾隆朝,卷数待核,平准之役官修专题编年。与《十全记》自述不是一层。,S二手索引,,卷数待核。不拿方略给十全当已核战果。,610,,L0,
QH-W-068,QH-E-06,平定两金川方略,方略,敕修,乾隆朝,卷数待核,大小金川之役官修专题编年。,S二手索引,,卷数待核。,620,,L0,
QH-W-069,QH-E-08,筹办夷务始末（道光朝）,夷务汇编,敕编,咸丰朝进呈,通行八十卷,按年月收上谕、奏折、照会。中方看禁烟和第一次鸦片战争的专题汇编，不是实录别名。,S二手索引,,未拆卷。,630,daoguang-01,L0,
QH-W-070,QH-E-09,筹办夷务始末（咸丰朝）,夷务汇编,敕编,同治朝进呈,通行八十卷,第二次鸦片战争、换约等中方文书汇编。,S二手索引,,未拆卷。,640,xianfeng-01,L0,
QH-W-071,QH-E-10,筹办夷务始末（同治朝）,夷务汇编,敕编,光绪朝进呈,通行一百卷,洋务、教案、换约等中方文书汇编。,S二手索引,,未拆卷。,650,,L0,
