site_id,相关皇帝ID,相关人物ID,事件,当时,今日,今地说明,边界,卡片钩子,证据状态,权利颜色,文件页,预览文件,文件页标示许可,作者或摄影者,制作年代或摄影日期,待核问题,排序,首页
QH-ST-0010,QH-E-04；QH-E-06；QH-E-07,QH-P-000001；QH-P-000019；QH-P-000054,木兰围场,康熙二十年设木兰围场，后来几乎年年秋狝。康、乾、嘉三朝把它当成塞外练兵和会见蒙古王公的地方。,河北省承德市围场满族蒙古族自治县。塞罕坝国家森林公园是旧围场的一部分。,今地是坝上草原和林海。同治以后开围放垦，原始猎场被毁掉。今日看见的大片林子，多是1960年代以后造的人工林，不是康熙时的围场原貌。,秋狝次数、驻跸地点须回实录。不要把塞罕坝机械林场的造林故事，写成清朝猎场还在。避暑山庄在承德市区，围场在更北的县，不是同一个点。,皇家猎场早已废弛。今天这一带是林场和草原。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:%E5%9D%9D%E4%B8%8A_%E6%9C%A8%E5%85%B0%E5%9B%B4%E5%9C%BA_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/%E5%9D%9D%E4%B8%8A_%E6%9C%A8%E5%85%B0%E5%9B%B4%E5%9C%BA_-_panoramio.jpg/960px-%E5%9D%9D%E4%B8%8A_%E6%9C%A8%E5%85%B0%E5%9B%B4%E5%9C%BA_-_panoramio.jpg,CC BY 3.0,wuqiang_beijing,2008,康熙二十年设围的实录条次；围场四至与今日县界；同治开围上谕,45,8
QH-ST-0013,QH-E-04；QH-E-06,QH-P-000001；QH-P-000019,畅春园,康熙在西郊修的第一座大园子，后来常年住在这儿听政。六十一年十一月十三日，他在园里崩逝。实录写寝宫；后人把那间屋子对到清溪书屋。,北京市海淀区，北京大学西门外一带。园子没了。路边还剩恩佑寺、恩慕寺两座山门。北面是北大宿舍，叫畅春新园。,康熙就是在这儿死的。1860年和圆明园一起被烧。今天走颐和园路，两座山门夹在车流和校园之间。清溪书屋的房子已经不在。,实录原文是「寝宫」。清溪书屋是后来说法。山门是寺门，不是寝宫。也不要把畅春园和圆明园、颐和园当成同一座园。葬地在遵化景陵，不是这座园。,康熙死在这儿。园子没了，路边还剩两座门。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Gate_of_former_Enyou_Temple_(20240722101131).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Gate_of_former_Enyou_Temple_%2820240722101131%29.jpg/960px-Gate_of_former_Enyou_Temple_%2820240722101131%29.jpg,CC BY-SA 4.0,N509FZ,2024,清溪书屋在园中的位置；恩佑寺、恩慕寺山门与寝宫的距离,47,4
QH-ST-0005,QH-E-04；QH-E-06；QH-E-09,QH-P-000001；QH-P-000019；QH-P-000056,热河行宫,康熙朝始建避暑山庄。咸丰十年北京危急，帝后北走热河。,河北省承德市避暑山庄。仍是完整的皇家园林，1994年列入世界遗产。,今地还能走进去。康乾时是塞外会客厅，咸丰十年变成避兵之所。两套功能不要写成同一件事。,不把畅春园、圆明园、避暑山庄互相替代。畅春园几乎没了，山庄还开着门。,康熙修来避暑，乾隆接着扩建，咸丰后来在这里逃难。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Chengde_Mountain_Resort_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Chengde_Mountain_Resort_1.jpg/960px-Chengde_Mountain_Resort_1.jpg,CC BY-SA 2.0,takwing.kwong,2010,《咸丰实录》北走与驻跸条次；烟波致爽殿作为崩逝地点的原文,50,6
QH-ST-0011,QH-E-08,QH-P-000055,虎门炮台,道光二十一年，英军进攻虎门炮台。销烟是两年前的另一件事，在海滩上，不在这座炮台上。,广东省东莞市虎门镇威远岛。威远炮台还在。江上是虎门大桥。,今地能看见炮台和桥。炮台经过道光以后多次重修，看见的不是1841年原状。销烟在海滩，炮台在江口，不是同一个点。,销烟另见虎门销烟条。战役日程须回奏折与实录。林则徐不在人物档里，先挂在道光朝下。不要把虎门大桥写进战史。,炮台还对着江。江上已经是桥。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:JX769009-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/JX769009-_02.jpg/960px-JX769009-_02.jpg,CC BY-SA 4.0,Jim X,2017,威远、靖远、沙角各炮台的分别；《宣宗实录》失守条次,56,
QH-ST-0012,QH-E-08,QH-P-000055,南京条约议约,道光二十二年，中英在南京议约。常见说法是：静海寺里谈条款，英舰「皋华丽」号上签字。舰停在下关江面。,江苏省南京市鼓楼区静海寺·南京条约史料陈列馆。狮子山西南麓。,今地是纪念馆。静海寺原是明初为郑和所建，后来毁过。1987年以后在旧址复建，1990年辟为陈列馆。看见的殿不是1842年的那座寺。签字不在寺里，在船上。,约文、割让香港岛的表述须回条约原件。不要把复建寺庙写成原物，也不要把议约和签字写成同一间屋子。江宁织造府在大行宫一带，不是静海寺。,条款是在这儿谈的。字签在江面的英国船上。寺是后来重建的。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:%E9%9D%99%E6%B5%B7%E5%AF%BA_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E9%9D%99%E6%B5%B7%E5%AF%BA_-_panoramio.jpg/960px-%E9%9D%99%E6%B5%B7%E5%AF%BA_-_panoramio.jpg,CC BY 3.0,史氏,2008,议约逐日与舰上签字的当时记录；静海寺原址范围与复建年代,58,
QH-ST-0016,QH-E-08,QH-P-000055,割让香港岛,道光二十二年《南京条约》割香港岛。字签在南京江面的船上。岛在珠江口外。,香港岛。中环这一面，是今天最常被拍到的天际线。,1842年割的是这座岛，不是九龙，也不是新界。那两块是后来的约。岛还在，上面已经是另一座城市。,条约文本须回原件。不要把1842年的香港岛写成今天的整个香港。,1842年割出去的是一座岛。今天从对岸看，已是另一座城市。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Hong_Kong_Island_Skyline_2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Hong_Kong_Island_Skyline_2009.jpg/960px-Hong_Kong_Island_Skyline_2009.jpg,CC BY-SA 3.0,WiNG,2009,约文里香港岛的四至；九龙、新界后来各约,60,10
QH-ST-0018,QH-E-03,QH-P-000053,扬州十日,顺治二年，清军破扬州。史可法死于此。后来笔记把这几天写成「扬州十日」。,江苏省扬州市广陵区梅花岭。史可法纪念馆／史可法祠。,今地是祠堂，不是1645年的战场原貌。梅花岭在旧城北，当年破城是整座扬州。看见的房子是后来的纪念建筑。,「十日」是后来说法，不要当成官方事件名去回实录。死难人数、屠城细节须回当时记录，不把祠堂解说写成战报。史可法不在人物档里，先挂在顺治朝下。康熙南巡住过的天宁寺，是城里另一处。,城破那几天，今天能走进去的是史可法的祠。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Yangzhou-Shi-Kefa-Memorial-3402.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yangzhou-Shi-Kefa-Memorial-3402.jpg/960px-Yangzhou-Shi-Kefa-Memorial-3402.jpg,CC BY-SA 3.0,Vmenkov,2008,《世祖实录》破扬州条次；史可法死事原文；祠堂始建与重修年代,33,
QH-ST-0019,QH-E-04,QH-P-000001,天宁寺行宫,康熙南巡，扬州这一站常驻天宁寺。后来在寺旁修过行宫。,江苏省扬州市广陵区天宁寺。寺还在。,今地是还能走进去的佛寺。行宫那一层后来拆改过，看见的不是康熙住过的那排房子。扬州十日在梅花岭一带，不是这座寺。,驻跸日程须回《圣祖实录》南巡各卷。不要把扬州十日和南巡合成一个扬州故事。也不要把天宁寺和江宁织造府当成同一条路上的同一个点。,南巡住过的寺，门还开着。扬州十日不在这儿。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Tianning_Temple_of_Yangzhou.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a3/Tianning_Temple_of_Yangzhou.JPG,CC BY 3.0,long,2009,康熙各次南巡驻天宁寺的实录条次；行宫与寺院的范围,44,
QH-ST-0020,QH-E-04,QH-P-000001,江宁织造府,康熙朝江宁织造是内务府在南京办差的衙门。曹寅这一支做过很长时间。帝南巡时在江宁驻过。,江苏省南京市玄武区江宁织造博物馆。大行宫一带。原府毁了，看见的是后来复建的馆。,今地是博物馆，不是曹家还在时的那座府。房子是21世纪复建的，里面还有模型。模型不能当成遗址原貌。静海寺在下关，是后来议约的地方，不是织造府。,曹寅不在人物档里，先挂在康熙朝下。织造衙门的沿革须回内务府档案，不把《红楼梦》里的曹家写成这座博物馆的说明书。不要和静海寺、天宁寺合成一个点。,曹家当过差的府，原屋子没了。今天是复建的馆。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Jiangning_zhizaofu_in_Nanjing_2012-10.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Jiangning_zhizaofu_in_Nanjing_2012-10.JPG/960px-Jiangning_zhizaofu_in_Nanjing_2012-10.JPG,CC BY-SA 3.0,猫猫的日记本,2012,原府四至与焚毁、拆除年代；曹寅任职条次；复建与开馆年代,46,
QH-ST-0021,QH-E-04,QH-P-000001,景陵,康熙葬清东陵景陵。人死在畅春园，坟在遵化。,河北省唐山市遵化市清东陵。景陵还在，能进去。照片拍的是隆恩殿。,入关以后康熙的陵。沈阳也有一座叫东陵的，那是福陵，努尔哈赤的坟，不要看成同一座。畅春园是他死的地方，景陵是葬的地方。,始葬、配葬名单须回实录。清东陵是一组陵，孝陵、景陵、裕陵不是同一座。不要靠「东陵」两个字去猜沈阳。,康熙葬在遵化。沈阳那个东陵是他祖宗的坟。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:%E6%B8%85%E4%B8%9C%E9%99%B5%E6%99%AF%E9%99%B5%E9%9A%86%E6%81%A9%E6%AE%BF.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/%E6%B8%85%E4%B8%9C%E9%99%B5%E6%99%AF%E9%99%B5%E9%9A%86%E6%81%A9%E6%AE%BF.jpg/960px-%E6%B8%85%E4%B8%9C%E9%99%B5%E6%99%AF%E9%99%B5%E9%9A%86%E6%81%A9%E6%AE%BF.jpg,CC BY-SA 4.0,EditQ,2023,景陵营建与葬期实录条次；孝恭仁皇后等配葬名单,48,
QH-ST-0022,QH-E-05,QH-P-000002,泰陵,雍正葬清西陵泰陵。没有跟父亲葬在遵化东陵。,河北省保定市易县清西陵。泰陵还在，能进去。,入关以后第一座西陵。东陵在遵化，西陵在易县，隔着北京，不是同一组。看见的殿经过维修，不是雍正下葬时的原状。,为什么不葬东陵，说法很多，先当未核。不要和陕西唐泰陵、隋泰陵混。也不要把清西陵整组写成这一座泰陵。,雍正没跟父亲葬在一起。他的陵在易县。,S二手索引,绿,"https://commons.wikimedia.org/wiki/File:Tailing_Tomb,_2016-09-07_01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Tailing_Tomb%2C_2016-09-07_01.jpg/960px-Tailing_Tomb%2C_2016-09-07_01.jpg,CC BY-SA 4.0,Siyuwj,2016,泰陵选址与《世宗实录》葬期；与东陵分葬的当时说法,49,
QH-ST-0017,QH-E-08,QH-P-000055,虎门销烟,道光十九年，鸦片在虎门海滩销毁。两年后英军打的是江口炮台，不是这件事。,广东省东莞市虎门镇。鸦片战争博物馆一带。照片拍的是馆区里的销烟池。,销烟在海滩。今天能走进去的，是纪念馆里的池子。是不是1839年那口原池，还没钉死。炮台在威远岛上，隔着江口，不要合成一个点。,销烟数量须回奏折，不把博物馆解说牌写成原档。林则徐不在人物档里，先挂在道光朝下。炮台另见虎门炮台条。,鸦片当年在海滩上销毁。今天能看见的是纪念馆里一口池。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Opium_Destruction_Pool.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e2/Opium_Destruction_Pool.JPG,CC BY 2.0,Simon Lo,2002,销烟池是否原址原池；海滩与镇口、沙角的分别；《宣宗实录》与林则徐奏折条次,54,
QH-ST-0023,QH-E-03,QH-P-000053,孝陵,顺治葬地，入关后第一座帝陵。顺治十八年崩，康熙二年葬孝陵。人死在北京，坟在遵化。,河北省遵化市清东陵保护区。孝陵是东陵主陵，游客从神道进去先到这里。照片拍的是孝陵隆恩殿。,清东陵是顺治开创的陵区，后来葬康熙、乾隆、咸丰、同治等。孝陵是这一组的主陵，不是沈阳福陵，也不是南京明孝陵。看见的隆恩殿经过维修，不是下葬时的原状。东陵在遵化，西陵在易县，隔着北京。景陵在东陵另一处，见QH-ST-0021。不要靠「东陵」两个字去猜沈阳。,沈阳福陵（努尔哈赤）、昭陵（皇太极）是关外陵，不是同一套。南京明孝陵是明朝的。清东陵里孝陵、景陵、裕陵不是同一座。始葬、配葬名单须回实录，未回原文。,入关后第一座帝陵。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:%E5%AD%9D%E9%99%B5%E9%9A%86%E6%81%A9%E6%AE%BF_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/%E5%AD%9D%E9%99%B5%E9%9A%86%E6%81%A9%E6%AE%BF_-_panoramio.jpg/960px-%E5%AD%9D%E9%99%B5%E9%9A%86%E6%81%A9%E6%AE%BF_-_panoramio.jpg,CC BY 3.0,风二中,2007,待核具体摄影者与日期；始葬配葬实录条次,22,
QH-ST-0024,QH-E-03,QH-P-000053,扬州十日,顺治二年，清军攻扬州，史可法守城。其后有屠城。王秀楚《扬州十日记》把这几天写成「十日」。死亡数字后来有几种说法。,江苏省扬州市广陵区一带。史可法纪念馆在今扬州广储门外街。纪念建筑另见QH-ST-0018。本条不嵌现场照片。,旧城在今日扬州老城区范围内。当年破城是整座扬州，不是后来一座祠堂的范围。本条用来登记死亡数字的来源冲突，不把祠堂解说写成战报。天宁寺是后来南巡驻地，不是破城现场。,死亡数字来源不同（王秀楚《扬州十日记》与其他记载），不取一个数。本库尚未拆成主张。「十日」是后出笔记用语，不要当成官方事件名去回实录。,入关后最常被提起的屠城。数字有几种说法。,C来源冲突,黄,https://zh.wikipedia.org/wiki/%E6%89%AC%E5%B7%9E%E5%8D%81%E6%97%A5,,,,,死亡数字来源各不同，待核。,23,
QH-ST-0025,QH-E-09,QH-P-000056,辛酉政变,咸丰十一年，咸丰崩于热河，肃顺等八大臣受顾命；两宫与恭亲王发动政变。肃顺在密云被擒。祺祥只拟用过，后来改成同治。,北京至承德之间。咸丰崩地在热河行宫。两宫回銮、肃顺被捕在密云。不是一个地点能概括的。,咸丰崩地在热河行宫（见QH-ST-0005）。政变不是一座宫殿里的一天。热河是崩逝和顾命，密云是逮捕，北京是事后的朝局。三处不要合成「辛酉政变旧址」。看见的避暑山庄是后来开放的园林，不是1861年的现场原状。,政变地点（热河行宫）和逮捕地点（密云）分开。不能把辛酉以后的格局，写成咸丰朝已经如此。具体逮捕地点坐标待核。,肃顺在密云被擒。,S二手索引,黄,https://zh.wikipedia.org/wiki/%E8%BE%9B%E9%85%89%E6%94%BF%E5%8F%98,,,,,待核具体逮捕地点坐标,24,
QH-ST-0026,QH-E-09,QH-P-000056,金田起义,1851年洪秀全在广西桂平金田村起事，建号太平天国。那年是咸丰元年。清廷按叛乱来写，太平天国按开国来写。,广西壮族自治区桂平市金田镇金田村。太平天国金田起义旧址。照片拍的是通往旧址的路，不是1851年的村庄原貌。,金田村有起义旧址博物馆。金田起义是太平天国的起点，不是整场战争的全部战场。南京、武汉、安庆是后来的事，不要合成一个点。看见的馆区和道路是后来层。,太平天国与清廷两条叙事线并存，本库站在清史角度，不写太平天国正史。起事日程、人数须回当时记录，不把旧址解说牌写成战报。洪秀全不在人物档里，先挂在咸丰朝下。,太平天国从这里开始。,S二手索引,绿,https://commons.wikimedia.org/wiki/File:Jintian_Uprising_Site_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Jintian_Uprising_Site_%281%29.jpg/960px-Jintian_Uprising_Site_%281%29.jpg,CC BY-SA 4.0,STW932,2019,具体坐标与馆藏信息待核,25,
