person_id,表序,表序标签,收录状态,规范名,世表用名,异名,父亲ID,生母人物ID,生母候选名,生母来源,世表摘要,后妃传子女句,证据状态,冲突组 ID,排序键,备注
QH-P-000012,14,圣祖第十四子,入序正文,爱新觉罗·胤禵,胤禎,胤祯；允禵；大将军王,QH-P-000001,QH-P-000025,孝恭仁皇后乌雅氏,卷214孝恭传,胤禎〈聖祖第十四子。康熙四十八年封貝子，雍正元年晉郡王……十三年復封恂郡王，二十年薨，諡曰勤〉,子三：世宗，允禵，允祚。,C来源冲突,QH-CF-KX-YINTI-NAME,14,世表用胤禎。人物档常用胤禵，并记原名胤祯。三层名字并存，不择一抹平。不是传位十四子的证据。
QH-P-000064,15,圣祖第十五子,入序正文,爱新觉罗·胤禑,胤禑,允禑；愉恪郡王,QH-P-000001,QH-P-000033,顺懿密妃王氏,卷214密妃条,聖祖第十五子。雍正四年封貝勒，八年晉愉郡王，九年薨，諡曰恪,順懿密太妃，王氏。子三：允琶、允祿、允祄,S二手转述,,15,后妃传作允琶。琶/禑是否同一人待核，不另建允琶实体，也不自动合并。
QH-P-000013,16,圣祖第十六子,入序正文,爱新觉罗·胤禄,胤祿,允禄；庄恪亲王,QH-P-000001,QH-P-000033,顺懿密妃王氏,卷214密妃条,聖祖第十六子，嗣博果鐸後。雍正元年襲莊親王，乾隆三十二年薨，諡曰恪,子三：允琶、允祿、允祄,S二手转述,,16,世表明记嗣博果铎后。生物父子与过继必须分栏。
QH-P-000014,17,圣祖第十七子,入序正文,爱新觉罗·胤礼,胤禮,允礼；果毅亲王,QH-P-000001,QH-P-000034,纯裕勤妃陈氏,卷214勤妃条,聖祖第十七子。雍正元年封果郡王，六年晉果親王，乾隆三年薨，諡曰毅,純裕勤太妃，陳氏。子一，允禮。,S二手转述,,17,勿与庶妃陈氏允禐混母。
QH-P-000015,18,圣祖第十八子,入序正文,爱新觉罗·胤祄,胤祄,允祄；十八阿哥,QH-P-000001,QH-P-000033,顺懿密妃王氏,卷214密妃条,聖祖第十八子。早卒,允祄八歲殤。,S二手转述,,18,入序而早卒。八岁殇只见于后妃传。
QH-P-000065,19,圣祖第十九子,入序正文,爱新觉罗·胤禝,胤禝,允禝,QH-P-000001,,,卷164仅有早卒,聖祖第十九子。早卒,,S二手转述,,19,已打开的后妃传段落未点名此子。生母待玉牒。
QH-P-000066,20,圣祖第二十子,入序正文,爱新觉罗·胤禕,胤禕,允禕,QH-P-000001,,襄嫔高氏,卷214襄嫔条,聖祖第二十子。雍正四年封貝子，八年晉貝勒，十二年緣事降輔國公，十三年復貝勒，乾隆二十年卒，諡簡靖,襄嬪，高氏。子一，允禕。,S二手转述,,20,襄嫔尚未建档。
QH-P-000067,21,圣祖第二十一子,入序正文,爱新觉罗·胤禧,胤禧,允禧；慎靖郡王,QH-P-000001,,熙嫔陈氏,卷214熙嫔条,聖祖第二十一子。雍正八年封貝子，尋晉貝勒，十三年晉慎郡王，乾隆二十三年薨，諡曰靖,熙嬪，陳氏。子一，允禧。,S二手转述,,21,熙嫔尚未建档。
QH-P-000068,22,圣祖第二十二子,入序正文,爱新觉罗·胤祜,胤祜,允祜,QH-P-000001,,谨嫔色赫图氏,卷214谨嫔条,聖祖第二十二子。雍正八年封貝子，十二年晉貝勒，乾隆八年卒，諡曰恭勤,謹嬪，色赫圖氏。子一，允祜。,S二手转述,,22,谨嫔尚未建档。
QH-P-000069,23,圣祖第二十三子,入序正文,爱新觉罗·胤祁,胤祁,允祁,QH-P-000001,,静嫔石氏,卷214静嫔条,聖祖第二十三子。雍正八年封鎮國公……五十年卒，諡曰誠,靜嬪，石氏。子一，允祁。,S二手转述,,23,静嫔尚未建档。
QH-P-000070,24,圣祖第二十四子,入序正文,爱新觉罗·胤祕,胤祕,允祕；诚恪亲王,QH-P-000001,,穆嫔陈氏,卷214穆嫔条,聖祖第二十四子。雍正十一年封誠親王，乾隆三十八年薨，諡曰恪,穆嬪，陳氏。子一，允祕。,S二手转述,,24,穆嫔尚未建档。勿与皇三子胤祉混为一人。
QH-P-000071,,早薨未入序,早薨附列,爱新觉罗·承瑞,承瑞,荣妃长子,QH-P-000001,QH-P-000027,荣妃马佳氏,卷214荣妃条,聖祖子，早薨,承瑞，為聖祖長子，四歲殤,C来源冲突,QH-CF-KX-PRINCE-ORDER,90,后妃传称圣祖长子。世表不给第N子号，另列早薨。不得与胤禔合并。
QH-P-000072,,早薨未入序,早薨附列,爱新觉罗·承祐,承祐,孝诚长子,QH-P-000001,QH-P-000023,孝诚仁皇后赫舍里氏,卷214孝诚传,聖祖子，早薨,子二：承祐，四歲殤；允礽。,S二手转述,,91,不是十三年五月所生皇二子。皇二子是允礽。
QH-P-000073,,早薨未入序,早薨附列,爱新觉罗·承庆,承慶,惠妃子,QH-P-000001,QH-P-000026,惠妃纳喇氏,卷214惠妃条,聖祖子，早薨,子二：承慶，殤；允禔。,S二手转述,,92,
QH-P-000074,,早薨未入序,早薨附列,爱新觉罗·赛音察浑,賽音察渾,荣妃子,QH-P-000001,QH-P-000027,荣妃马佳氏,卷214荣妃条,聖祖子，早薨,賽音察渾，長華，長生皆殤,S二手转述,,93,满语用名按世表原文保留。
QH-P-000075,,早薨未入序,早薨附列,爱新觉罗·长华,長華,荣妃子,QH-P-000001,QH-P-000027,荣妃马佳氏,卷214荣妃条,聖祖子，早薨,長華……皆殤,S二手转述,,94,
QH-P-000076,,早薨未入序,早薨附列,爱新觉罗·长生,長生,荣妃子,QH-P-000001,QH-P-000027,荣妃马佳氏,卷214荣妃条,聖祖子，早薨,長生皆殤,S二手转述,,95,
QH-P-000077,,早薨未入序,早薨附列,爱新觉罗·万黼,萬黼,通嫔子,QH-P-000001,,通嫔纳喇氏,卷214通嫔条,聖祖子，早薨,子二：萬黼，五歲殤；允禶，二歲殤。,S二手转述,,96,通嫔尚未建档。
QH-P-000078,,早薨未入序,早薨附列,爱新觉罗·胤禶,胤禶,允禶；通嫔子,QH-P-000001,,通嫔纳喇氏,卷214通嫔条,聖祖子，早薨,允禶，二歲殤。,S二手转述,,97,
QH-P-000079,,早薨未入序,早薨附列,爱新觉罗·胤䄔,胤䄔,允䄔,QH-P-000001,,郭络罗氏（宜妃妹）,卷214宜妃妹条,聖祖子，早薨,郭絡羅氏，宜妃妹。子一，允䄔，殤。,S二手转述,,98,生母尚未建档。勿与胤䄉合并。
QH-P-000080,,早薨未入序,早薨附列,爱新觉罗·胤禨,胤禨,允禨；平妃子,QH-P-000001,,平妃赫舍里氏,卷214平妃条,聖祖子，早薨,平妃，赫舍里氏，孝誠皇后妹。子一，允禨，殤。,S二手转述,,99,平妃尚未建档。
QH-P-000081,,早薨未入序,早薨附列,爱新觉罗·胤禐,胤禐,允禐,QH-P-000001,,庶妃陈氏,卷214诸妃条,聖祖子，早薨,陳氏，子一，允禐，殤。,S二手转述,,9A,后妃传将此陈氏与勤妃陈氏分列，不合并生母。
